Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,24.57,84.66,1.59,182.8,0.23,40.37
2015-01-02,25.12,86.96,2.35,148.4,0.22,18.67
2015-01-03,25.11,86.51,2.15,131.3,0.04,21.11
2015-01-04,24.95,83.45,1.99,60.7,0.0,11.31
2015-01-05,24.49,84.16,2.33,37.3,0.01,17.95
2015-01-06,24.15,83.61,2.37,32.6,0.0,21.4
2015-01-07,23.98,81.01,2.35,34.6,0.0,22.71
2015-01-08,24.16,80.44,1.37,74.1,0.0,32.13
2015-01-09,23.5,80.34,2.35,41.1,0.0,38.86
2015-01-10,22.36,73.02,2.92,25.9,0.0,17.92
2015-01-11,22.51,73.83,3.11,37.2,0.0,30.44
2015-01-12,22.51,70.26,3.2,40.6,0.0,27.99
2015-01-13,22.37,71.15,2.82,31.8,0.0,16.05
2015-01-14,22.46,71.61,2.4,42.6,0.0,22.71
2015-01-15,22.98,77.72,2.24,47.8,0.0,35.61
2015-01-16,23.66,81.27,3.04,41.2,0.04,33.94
2015-01-17,23.61,78.31,2.93,48.0,0.0,15.88
2015-01-18,23.31,73.53,2.8,51.9,0.0,19.88
2015-01-19,23.12,72.95,3.12,55.2,0.0,17.34
2015-01-20,22.9,75.19,2.91,59.0,0.0,20.57
2015-01-21,22.91,74.38,3.19,52.3,0.04,13.1
2015-01-22,23.6,79.93,3.24,41.8,0.23,61.03
2015-01-23,24.14,81.38,3.2,56.4,1.8,19.94
2015-01-24,24.19,78.17,3.36,49.1,1.43,27.88
2015-01-25,23.5,71.97,3.49,48.9,0.05,18.19
2015-01-26,23.84,71.73,3.2,62.6,0.01,23.85
2015-01-27,24.38,72.3,3.3,62.5,0.0,35.32
2015-01-28,24.09,75.28,2.9,59.6,0.01,25.09
2015-01-29,24.67,73.9,2.78,56.7,0.0,39.25
2015-01-30,24.34,74.08,2.95,56.2,0.0,40.91
2015-01-31,24.04,76.75,3.25,52.7,0.0,22.13
2015-02-01,24.0,78.93,3.14,60.0,0.01,30.84
2015-02-02,24.01,76.94,3.58,62.3,0.0,32.55
2015-02-03,24.3,72.62,3.77,48.5,0.01,39.57
2015-02-04,24.4,73.45,3.58,45.5,0.0,66.86
2015-02-05,24.42,72.56,3.01,56.6,0.0,38.33
2015-02-06,24.5,70.08,2.91,59.0,0.0,73.49
2015-02-07,24.38,67.93,2.94,69.9,0.0,34.01
2015-02-08,24.59,67.27,2.71,69.7,0.0,17.75
2015-02-09,24.18,67.86,3.09,66.7,0.0,20.72
2015-02-10,24.06,72.75,3.14,54.8,0.0,81.5
2015-02-11,24.96,77.87,3.38,44.8,0.02,38.78
2015-02-12,25.44,73.14,3.08,53.9,0.0,18.69
2015-02-13,24.97,70.96,2.05,75.2,0.0,15.41
2015-02-14,25.22,69.66,2.11,113.0,0.0,22.88
2015-02-15,25.34,70.49,2.42,133.8,0.0,10.59
2015-02-16,25.42,71.84,2.25,113.6,0.0,15.4
2015-02-17,25.24,70.46,2.14,125.0,0.0,14.47
2015-02-18,25.0,69.46,2.69,150.9,0.0,41.58
2015-02-19,25.05,67.96,2.59,128.4,0.0,44.05
2015-02-20,25.18,70.72,2.79,105.3,0.0,14.91
2015-02-21,25.51,70.62,2.6,73.9,0.0,12.66
2015-02-22,25.49,67.74,2.77,64.6,0.0,15.66
2015-02-23,25.39,68.16,2.67,83.7,0.0,13.85
2015-02-24,25.21,62.17,2.26,89.4,0.0,15.97
2015-02-25,25.6,64.79,2.34,106.3,0.0,14.9
2015-02-26,26.51,71.2,2.64,115.6,0.0,14.17
2015-02-27,27.42,69.57,2.57,112.2,0.0,26.44
2015-02-28,27.29,70.43,3.13,126.5,0.33,22.18
2015-03-01,27.37,68.49,3.63,130.2,0.17,17.28
2015-03-02,27.47,69.49,3.34,128.7,0.46,28.5
2015-03-03,27.19,71.63,1.94,111.1,0.87,42.87
2015-03-04,28.53,67.54,2.78,156.1,0.93,45.52
2015-03-05,28.56,70.93,2.96,134.2,0.04,23.86
2015-03-06,28.32,70.01,2.75,95.2,0.04,21.34
2015-03-07,28.29,67.89,2.74,98.9,0.01,15.95
2015-03-08,27.84,68.77,2.74,117.2,0.0,16.47
2015-03-09,27.73,68.29,2.75,86.3,0.0,28.4
2015-03-10,27.01,64.52,3.21,62.7,0.0,19.08
2015-03-11,26.86,68.07,3.17,62.8,0.0,15.64
2015-03-12,27.74,69.11,3.41,75.3,0.01,15.85
2015-03-13,27.8,68.86,3.05,96.8,0.01,18.49
2015-03-14,27.74,67.35,3.12,125.4,0.0,17.19
2015-03-15,27.5,68.72,2.82,125.8,0.0,38.13
2015-03-16,27.55,67.95,2.73,125.9,0.0,27.21
2015-03-17,27.64,62.06,1.99,113.0,0.0,14.14
2015-03-18,28.15,57.32,2.45,149.2,0.0,30.24
2015-03-19,28.34,61.77,3.03,127.9,0.0,54.98
2015-03-20,28.22,65.29,2.6,103.9,0.0,20.42
2015-03-21,28.77,60.16,2.36,112.6,0.0,11.83
2015-03-22,29.46,58.51,2.51,127.3,0.0,12.32
2015-03-23,29.8,61.23,2.88,159.4,0.0,13.78
2015-03-24,29.37,65.31,3.41,156.7,0.0,20.26
2015-03-25,29.1,65.72,3.56,143.7,0.0,39.01
2015-03-26,29.13,63.63,2.98,111.9,0.0,24.27
2015-03-27,29.03,63.59,2.84,88.7,0.0,15.26
2015-03-28,29.06,65.62,2.6,101.0,0.01,14.4
2015-03-29,29.16,65.79,3.03,123.0,0.0,13.52
2015-03-30,29.2,67.06,3.32,135.0,0.0,29.72
2015-03-31,29.11,69.48,2.98,128.0,0.01,76.52
2015-04-01,29.98,64.71,3.15,138.7,0.01,52.45
2015-04-02,30.72,62.73,3.89,170.0,0.01,19.17
2015-04-03,31.65,61.95,4.03,172.4,0.01,24.92
2015-04-04,31.39,63.67,4.13,165.5,0.02,58.53
2015-04-05,31.29,62.92,4.59,164.4,0.01,20.42
2015-04-06,30.63,63.8,4.91,162.5,0.0,13.55
2015-04-07,30.31,66.61,4.34,159.1,0.0,26.69
2015-04-08,30.03,69.39,3.89,152.0,0.02,57.83
2015-04-09,29.78,68.71,3.47,133.3,0.02,67.85
2015-04-10,30.03,63.77,3.48,144.1,0.0,49.45
2015-04-11,30.1,63.0,3.67,155.4,0.01,12.37
2015-04-12,29.15,65.85,2.93,144.2,0.54,70.94
2015-04-13,27.67,63.71,2.34,61.4,9.65,91.02
2015-04-14,27.35,70.63,3.02,76.6,7.83,47.96
2015-04-15,27.21,79.73,2.53,97.0,36.86,84.67
2015-04-16,27.81,76.85,2.23,69.9,16.37,34.71
2015-04-17,28.23,73.96,2.33,38.7,0.62,23.48
2015-04-18,28.69,71.55,2.11,84.3,0.46,18.16
2015-04-19,29.06,71.53,2.44,122.3,0.0,11.7
2015-04-20,29.16,71.85,2.6,139.6,0.04,17.29
2015-04-21,28.87,76.76,2.72,166.4,0.14,36.72
2015-04-22,29.95,71.18,4.17,183.8,0.15,12.92
2015-04-23,30.83,68.87,4.41,185.4,0.2,21.39
2015-04-24,29.42,76.44,3.68,170.5,6.63,74.27
2015-04-25,29.4,71.39,3.72,180.2,3.67,73.05
2015-04-26,29.57,69.23,3.4,151.1,0.06,52.57
