Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,23.96,78.97,1.49,255.2,1.35,48.39
2015-01-02,22.96,73.76,1.29,243.6,0.0,40.89
2015-01-03,23.32,70.13,0.8,243.5,0.0,41.44
2015-01-04,23.95,70.47,0.81,112.9,0.0,42.35
2015-01-05,23.61,71.59,1.32,90.0,0.0,45.03
2015-01-06,23.32,71.25,1.16,95.8,0.0,56.82
2015-01-07,23.56,70.48,0.81,97.1,0.0,40.18
2015-01-08,23.67,74.6,0.8,128.3,0.0,54.34
2015-01-09,23.27,73.74,1.57,86.9,0.0,57.82
2015-01-10,22.59,67.66,1.68,77.2,0.0,44.13
2015-01-11,20.17,60.22,1.96,72.9,0.0,32.92
2015-01-12,20.32,63.67,1.61,74.9,0.0,31.84
2015-01-13,20.31,64.13,1.43,69.7,0.0,32.87
2015-01-14,20.53,65.4,1.28,83.0,0.0,29.56
2015-01-15,20.89,64.62,1.31,82.5,0.0,37.96
2015-01-16,21.67,68.06,1.46,83.6,0.0,34.5
2015-01-17,22.93,70.94,1.74,86.5,0.0,51.94
2015-01-18,22.71,69.73,1.77,80.6,0.0,45.16
2015-01-19,22.31,68.02,1.83,83.7,0.0,40.47
2015-01-20,21.9,69.73,1.71,84.8,0.0,53.05
2015-01-21,21.5,69.76,1.91,78.4,0.02,60.64
2015-01-22,21.24,62.67,1.72,77.5,0.14,41.79
2015-01-23,23.15,71.94,1.83,86.7,0.06,47.28
2015-01-24,23.75,70.97,2.2,84.3,0.08,52.43
2015-01-25,23.73,63.47,2.25,80.7,0.0,49.42
2015-01-26,22.22,62.58,2.24,77.3,0.0,26.58
2015-01-27,22.98,66.4,2.51,80.5,0.0,28.05
2015-01-28,23.8,67.14,2.07,82.2,0.0,53.9
2015-01-29,24.59,64.84,1.59,88.9,0.0,54.67
2015-01-30,24.26,66.17,1.92,86.7,0.0,80.19
2015-01-31,23.82,58.04,2.5,79.8,0.0,50.18
2015-02-01,23.41,61.45,1.99,81.1,0.0,30.36
2015-02-02,23.17,58.49,2.9,78.0,0.0,47.29
2015-02-03,22.95,59.85,2.97,76.0,0.0,29.55
2015-02-04,23.61,60.03,2.98,81.6,0.0,35.52
2015-02-05,24.35,56.71,2.25,80.1,0.0,53.38
2015-02-06,24.1,53.22,2.09,78.6,0.0,41.33
2015-02-07,24.2,54.29,1.79,80.3,0.07,37.88
2015-02-08,24.09,52.81,1.44,80.6,0.0,34.66
2015-02-09,24.09,50.69,2.42,78.5,0.0,28.08
2015-02-10,23.67,57.15,2.27,76.9,0.0,31.6
2015-02-11,25.14,55.4,1.57,76.3,0.0,33.66
2015-02-12,25.82,56.75,1.93,81.8,0.08,33.7
2015-02-13,26.18,55.16,1.53,83.8,0.09,40.91
2015-02-14,26.32,51.93,1.31,88.3,0.01,32.75
2015-02-15,25.96,47.11,1.43,82.3,0.0,31.46
2015-02-16,24.86,44.82,1.81,82.5,0.0,24.87
2015-02-17,25.23,44.13,1.28,87.3,0.0,31.99
2015-02-18,25.15,43.24,1.3,94.0,0.0,49.68
2015-02-19,25.43,46.08,1.36,89.1,0.0,52.03
2015-02-20,24.33,42.81,2.31,81.1,0.0,33.09
2015-02-21,23.86,47.81,2.59,76.7,0.0,25.12
2015-02-22,24.41,45.88,2.7,76.5,0.0,26.3
2015-02-23,23.99,43.82,2.32,83.3,0.0,30.1
2015-02-24,24.72,37.35,1.6,85.8,0.0,25.69
2015-02-25,26.09,43.75,1.29,103.0,0.0,30.0
2015-02-26,27.16,56.19,1.27,213.8,0.0,36.55
2015-02-27,27.71,58.35,1.18,251.6,0.0,52.61
2015-02-28,27.04,61.82,1.31,240.4,0.17,71.82
2015-03-01,26.35,65.14,1.21,251.3,0.18,51.62
2015-03-02,27.5,60.9,1.35,257.2,0.64,61.22
2015-03-03,27.03,64.26,1.01,284.8,1.55,61.1
2015-03-04,26.52,64.51,1.28,106.8,0.96,64.27
2015-03-05,28.38,53.61,1.06,90.6,0.0,43.78
2015-03-06,28.07,58.51,1.12,88.2,6.0,70.95
2015-03-07,26.8,66.75,1.27,88.6,3.26,67.56
2015-03-08,26.61,61.62,1.67,95.1,1.9,69.68
2015-03-09,25.84,62.64,1.46,83.0,0.57,58.84
2015-03-10,25.9,53.51,1.95,76.8,0.11,29.74
2015-03-11,25.63,50.84,2.24,79.8,0.0,34.52
2015-03-12,27.0,53.5,2.54,79.4,0.0,31.41
2015-03-13,27.36,51.96,2.39,86.2,0.0,29.63
2015-03-14,26.9,56.02,2.29,90.9,0.51,58.35
2015-03-15,26.78,65.13,1.87,97.6,4.68,82.5
2015-03-16,25.69,72.67,1.38,86.9,6.34,77.95
2015-03-17,25.91,60.05,1.4,81.5,0.35,70.82
2015-03-18,26.84,52.95,0.93,83.6,0.0,56.69
2015-03-19,26.49,53.8,1.17,92.8,0.0,46.33
2015-03-20,26.36,43.87,1.84,80.3,0.0,23.46
2015-03-21,26.6,47.33,2.06,83.9,0.0,21.86
2015-03-22,27.37,39.73,1.65,91.1,0.0,26.19
2015-03-23,28.65,54.59,1.25,118.2,0.0,35.16
2015-03-24,29.35,52.85,1.35,100.3,0.0,34.0
2015-03-25,28.78,46.42,1.37,98.9,0.0,51.11
2015-03-26,27.71,43.98,2.05,86.2,0.0,45.55
2015-03-27,27.67,42.48,1.64,82.3,0.0,35.79
2015-03-28,27.81,41.49,1.47,81.6,0.0,37.22
2015-03-29,28.59,49.53,1.33,95.8,0.0,29.12
2015-03-30,29.2,49.77,1.27,101.6,0.01,37.79
2015-03-31,27.72,59.22,0.4,232.4,0.79,77.0
2015-04-01,28.17,61.89,0.93,162.4,2.25,91.41
2015-04-02,28.28,64.55,1.47,244.2,0.89,93.43
2015-04-03,28.31,65.03,2.21,259.3,1.04,65.88
2015-04-04,29.66,60.08,1.28,251.4,0.44,83.32
2015-04-05,28.65,61.67,1.19,254.2,0.0,75.88
2015-04-06,28.27,64.68,1.54,249.4,0.57,77.35
2015-04-07,29.25,61.69,1.31,209.9,1.7,82.6
2015-04-08,27.23,65.4,1.12,190.1,1.13,94.19
2015-04-09,28.53,52.21,1.29,116.3,2.15,67.26
2015-04-10,27.95,65.79,1.0,221.6,4.13,91.06
2015-04-11,26.72,70.72,1.36,262.3,0.97,72.68
2015-04-12,26.26,68.4,0.83,168.2,3.2,80.96
2015-04-13,24.79,77.86,0.7,165.1,5.74,83.35
2015-04-14,25.48,75.01,0.81,222.1,5.81,71.41
2015-04-15,25.52,78.8,0.46,161.6,14.49,58.55
2015-04-16,25.45,76.89,1.46,100.8,6.77,75.22
2015-04-17,25.84,73.23,0.83,276.2,5.27,62.22
2015-04-18,27.0,68.75,0.91,273.5,2.14,64.56
