Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,25.59,84.16,2.55,141.8,0.53,66.62
2015-01-02,25.81,87.02,2.89,151.8,0.26,35.58
2015-01-03,25.79,86.07,2.59,108.1,0.2,33.09
2015-01-04,25.67,83.95,2.79,55.5,0.0,32.26
2015-01-05,25.57,84.31,3.53,40.1,0.01,29.98
2015-01-06,25.3,83.23,3.43,39.0,0.01,26.81
2015-01-07,25.04,83.14,3.37,40.2,0.0,21.79
2015-01-08,25.17,80.53,2.41,64.4,0.01,39.71
2015-01-09,25.05,80.05,3.44,48.6,0.02,55.25
2015-01-10,24.6,74.22,4.48,31.9,0.0,17.58
2015-01-11,24.53,71.72,4.86,34.5,0.01,33.32
2015-01-12,24.59,69.04,4.78,32.6,0.0,30.23
2015-01-13,24.61,72.48,4.39,24.3,0.0,38.01
2015-01-14,24.5,68.65,3.7,30.8,0.0,21.02
2015-01-15,24.32,75.44,3.18,31.8,0.0,24.73
2015-01-16,24.9,82.66,4.3,38.5,0.53,29.59
2015-01-17,25.07,81.53,4.52,44.2,0.16,35.63
2015-01-18,24.82,76.8,4.41,45.2,0.0,28.95
2015-01-19,24.62,74.37,4.46,45.4,0.0,35.33
2015-01-20,24.35,76.62,4.1,43.6,0.0,21.13
2015-01-21,24.29,77.89,4.34,41.0,0.02,28.29
2015-01-22,24.82,83.91,4.91,34.3,0.79,35.5
2015-01-23,25.35,82.15,4.37,52.4,2.82,90.02
2015-01-24,25.28,82.32,4.87,49.2,0.49,59.65
2015-01-25,24.93,75.01,4.42,40.9,0.04,15.77
2015-01-26,25.11,76.38,4.53,52.1,0.73,45.65
2015-01-27,25.51,76.12,4.57,57.1,0.2,62.04
2015-01-28,25.26,77.82,4.32,50.7,0.17,46.99
2015-01-29,25.49,77.06,4.0,51.5,0.19,49.52
2015-01-30,25.28,75.93,4.05,51.9,0.0,63.56
2015-01-31,25.13,76.14,4.68,46.3,0.0,43.64
2015-02-01,25.19,78.04,4.68,50.0,0.27,32.45
2015-02-02,25.04,75.09,5.31,53.1,0.07,45.86
2015-02-03,25.57,75.1,5.52,42.2,0.18,47.74
2015-02-04,25.43,77.07,5.16,41.4,0.16,89.65
2015-02-05,25.48,77.2,4.58,46.5,0.13,54.55
2015-02-06,25.64,75.15,4.08,51.7,0.11,65.32
2015-02-07,25.54,72.38,4.17,52.7,0.11,37.63
2015-02-08,25.49,73.42,4.0,53.7,0.06,19.93
2015-02-09,25.49,73.11,4.32,54.3,0.13,28.23
2015-02-10,25.6,77.55,4.57,47.1,0.65,90.49
2015-02-11,25.93,81.54,4.45,44.5,0.99,56.26
2015-02-12,26.06,79.33,4.68,47.7,0.15,22.21
2015-02-13,26.13,79.31,3.41,56.5,0.04,25.26
2015-02-14,25.7,75.19,2.97,83.0,0.0,16.36
2015-02-15,26.06,69.67,2.68,98.7,0.14,15.67
2015-02-16,26.05,72.68,3.12,85.5,0.0,14.96
2015-02-17,25.79,69.35,2.88,91.8,0.0,16.03
2015-02-18,25.75,69.48,3.1,112.3,0.01,88.99
2015-02-19,25.96,65.37,3.08,100.7,0.0,35.62
2015-02-20,25.76,71.96,4.04,80.8,0.0,20.0
2015-02-21,25.99,74.97,4.31,60.2,0.0,21.6
2015-02-22,26.05,73.22,4.59,55.2,0.0,17.53
2015-02-23,26.02,70.19,4.03,61.9,0.0,17.9
2015-02-24,25.99,70.69,3.69,65.7,0.02,17.42
2015-02-25,26.47,76.89,3.5,80.2,0.16,38.16
2015-02-26,26.85,77.8,3.2,95.0,0.6,32.46
2015-02-27,27.45,75.22,2.72,111.9,0.23,50.19
2015-02-28,27.34,77.02,3.63,118.9,0.46,42.04
2015-03-01,27.57,74.35,4.03,123.4,0.15,36.56
2015-03-02,27.43,74.21,3.62,113.9,0.05,31.54
2015-03-03,27.6,72.7,2.93,99.4,0.03,34.12
2015-03-04,28.11,71.79,3.0,146.6,0.13,30.59
2015-03-05,28.01,79.48,3.4,124.4,0.35,33.03
2015-03-06,28.07,75.68,3.17,87.1,0.21,32.45
2015-03-07,27.98,73.38,3.46,87.0,0.23,28.83
2015-03-08,27.61,75.24,3.44,98.3,0.21,26.93
2015-03-09,27.6,73.45,3.56,73.4,0.06,24.37
2015-03-10,27.17,68.08,4.26,59.1,0.0,22.96
2015-03-11,27.25,70.67,3.89,60.6,0.06,25.78
2015-03-12,27.87,72.98,4.52,65.8,0.49,26.15
2015-03-13,27.74,71.48,4.16,82.4,0.41,26.99
2015-03-14,27.7,73.84,3.93,97.7,0.59,26.62
2015-03-15,27.73,76.02,3.67,99.8,0.28,70.13
2015-03-16,27.56,74.56,3.53,99.1,0.23,45.28
2015-03-17,27.28,70.67,2.71,83.7,0.02,48.19
2015-03-18,27.98,63.07,2.23,116.7,0.0,50.0
2015-03-19,27.94,67.44,2.84,113.2,0.0,28.88
2015-03-20,27.8,73.96,3.37,87.3,0.03,16.82
