Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,23.74,82.2,1.79,124.3,2.65,62.92
2015-01-02,24.9,75.87,1.86,150.3,0.07,50.9
2015-01-03,24.36,71.27,1.57,143.5,0.0,34.93
2015-01-04,24.6,72.42,1.5,99.9,0.0,35.06
2015-01-05,24.1,70.61,1.68,78.5,0.0,27.51
2015-01-06,23.51,69.97,1.51,70.1,0.0,47.52
2015-01-07,23.29,69.04,1.31,52.8,0.0,26.6
2015-01-08,23.68,69.84,0.99,114.0,0.0,38.81
2015-01-09,22.96,72.64,1.61,76.1,0.0,55.8
2015-01-10,21.49,59.45,1.69,50.1,0.0,11.25
2015-01-11,19.9,63.31,2.16,59.1,0.0,7.93
2015-01-12,20.18,64.37,1.98,61.5,0.0,6.35
2015-01-13,20.25,60.98,1.88,55.5,0.0,7.25
2015-01-14,20.23,61.08,1.62,69.6,0.0,19.42
2015-01-15,20.93,65.28,1.55,66.0,0.0,9.04
2015-01-16,22.76,68.99,1.75,79.2,0.01,35.44
2015-01-17,23.08,66.2,2.04,78.1,0.01,35.5
2015-01-18,22.63,65.22,1.91,72.9,0.0,17.39
2015-01-19,22.36,64.83,2.04,73.6,0.0,7.66
2015-01-20,22.32,66.0,1.83,82.0,0.0,9.17
2015-01-21,21.99,64.27,2.31,63.8,0.0,22.88
2015-01-22,22.19,64.44,1.96,81.3,0.0,10.93
2015-01-23,23.64,69.28,2.4,83.9,0.41,55.25
2015-01-24,23.95,69.45,2.61,79.4,0.13,47.35
2015-01-25,23.28,58.31,2.6,65.1,0.0,17.58
2015-01-26,22.19,65.59,2.63,74.9,0.0,25.23
2015-01-27,23.11,67.37,2.84,82.1,0.0,39.01
2015-01-28,23.86,64.83,2.32,78.5,0.0,50.07
2015-01-29,24.42,64.3,2.09,78.8,0.0,49.43
2015-01-30,24.19,61.83,2.35,72.2,0.0,63.52
2015-01-31,23.86,60.46,2.72,71.8,0.0,13.42
2015-02-01,23.54,62.27,2.41,74.3,0.0,18.76
2015-02-02,23.33,61.94,3.02,76.3,0.0,38.88
2015-02-03,23.02,61.6,3.12,67.4,0.0,28.99
2015-02-04,23.27,61.54,3.06,69.0,0.0,47.71
2015-02-05,23.79,57.66,2.61,72.9,0.0,52.27
2015-02-06,23.72,58.98,2.35,80.9,0.0,41.05
2015-02-07,23.71,54.64,2.31,76.9,0.0,29.87
2015-02-08,24.17,54.35,2.09,75.0,0.0,9.93
2015-02-09,23.54,56.26,2.55,75.6,0.0,24.41
2015-02-10,22.53,61.94,2.37,71.4,0.0,49.34
2015-02-11,24.88,60.29,2.39,78.5,0.0,34.84
2015-02-12,25.67,57.35,2.31,71.5,0.0,24.11
2015-02-13,25.68,49.1,1.84,66.8,0.0,13.67
2015-02-14,25.58,51.51,1.44,73.2,0.0,7.17
2015-02-15,25.67,50.29,1.7,87.2,0.0,3.28
2015-02-16,25.04,52.97,1.93,89.9,0.0,7.5
2015-02-17,25.05,49.73,1.5,86.5,0.0,6.05
2015-02-18,25.11,45.07,1.73,105.2,0.0,42.82
2015-02-19,25.28,48.05,1.89,95.3,0.0,53.04
2015-02-20,24.31,52.93,2.56,86.9,0.0,8.54
2015-02-21,24.54,53.81,2.94,77.3,0.0,6.67
2015-02-22,24.65,53.83,2.99,72.5,0.0,7.27
2015-02-23,24.2,48.26,2.7,82.7,0.0,9.0
2015-02-24,24.25,45.31,2.03,82.1,0.0,8.12
2015-02-25,25.44,50.74,1.66,94.2,0.0,15.02
2015-02-26,27.61,53.67,1.56,130.4,0.0,10.92
2015-02-27,28.18,55.98,1.68,140.4,0.0,57.22
2015-02-28,27.42,61.46,2.18,146.8,0.33,68.84
2015-03-01,27.97,57.95,3.21,160.0,0.29,48.04
2015-03-02,28.12,57.77,2.14,153.9,0.99,46.77
2015-03-03,27.37,63.05,1.76,118.4,3.68,72.17
2015-03-04,27.47,54.85,1.6,148.6,1.52,85.05
2015-03-05,28.41,52.18,2.15,117.9,0.12,46.5
2015-03-06,28.39,56.03,2.08,96.1,2.78,57.57
2015-03-07,27.32,61.28,1.87,94.0,3.03,60.01
2015-03-08,27.19,56.5,2.49,104.8,0.02,26.16
2015-03-09,26.8,58.0,2.21,94.5,0.0,26.73
2015-03-10,26.4,52.58,2.75,71.5,0.0,8.46
2015-03-11,25.9,56.96,2.91,79.1,0.0,7.26
2015-03-12,27.04,57.73,3.37,82.0,0.0,37.57
2015-03-13,27.1,56.35,3.22,94.9,0.0,18.84
2015-03-14,27.25,56.25,2.88,112.1,0.12,22.04
2015-03-15,27.73,56.81,2.8,121.7,0.42,56.75
2015-03-16,27.08,54.87,1.96,109.1,3.29,21.21
2015-03-17,26.61,49.31,1.62,101.6,0.02,14.36
2015-03-18,27.45,39.87,1.47,121.5,0.0,25.99
2015-03-19,28.06,39.66,1.89,114.2,0.0,25.64
2015-03-20,27.32,50.72,2.33,93.2,0.0,4.4
2015-03-21,27.41,47.94,2.39,98.3,0.0,4.06
2015-03-22,28.45,41.91,1.93,101.3,0.0,6.43
2015-03-23,29.48,39.78,1.6,112.2,0.0,19.91
2015-03-24,29.75,43.26,2.24,115.0,0.0,13.41
2015-03-25,28.67,48.6,2.26,124.5,0.0,21.57
2015-03-26,28.14,48.18,2.52,101.2,0.0,27.08
2015-03-27,27.91,48.75,2.46,81.5,0.0,13.7
2015-03-28,27.78,49.38,1.89,94.5,0.0,11.63
2015-03-29,29.1,49.9,2.2,107.7,0.0,9.24
2015-03-30,29.22,50.33,2.41,115.2,0.0,32.84
2015-03-31,28.36,55.09,1.68,128.1,0.14,75.06
2015-04-01,29.91,52.39,2.11,129.5,1.02,71.07
2015-04-02,30.65,49.5,1.66,172.8,0.06,27.88
2015-04-03,31.53,47.94,1.19,200.3,3.72,46.51
2015-04-04,31.41,49.23,1.85,140.0,0.18,65.55
2015-04-05,31.83,46.59,2.12,148.3,0.0,24.04
2015-04-06,31.35,47.03,2.86,153.5,0.0,18.28
2015-04-07,30.78,49.06,2.98,137.2,0.0,36.23
2015-04-08,29.38,54.96,2.26,148.8,0.01,93.29
2015-04-09,29.84,50.79,2.45,135.7,0.06,60.96
2015-04-10,29.97,53.73,2.06,153.2,3.46,51.43
2015-04-11,29.02,57.66,1.4,180.0,2.71,41.22
2015-04-12,27.5,64.78,1.83,140.1,6.22,89.89
2015-04-13,24.74,76.39,1.93,130.0,10.21,89.25
2015-04-14,25.85,71.52,1.39,124.4,4.29,54.41
2015-04-15,25.53,75.34,2.23,110.9,9.05,65.8
2015-04-16,25.64,75.74,1.58,91.5,11.61,58.23
2015-04-17,26.89,70.38,0.88,12.4,10.11,63.15
2015-04-18,28.13,63.64,1.33,95.8,1.32,52.6
2015-04-19,28.74,61.17,1.71,96.7,0.02,23.09
2015-04-20,28.59,61.25,1.96,101.5,0.0,71.17
2015-04-21,28.36,62.85,2.04,128.7,1.23,78.48
2015-04-22,27.96,65.73,1.89,183.2,0.15,78.18
2015-04-23,28.5,65.26,1.3,232.1,5.31,78.22
2015-04-24,27.81,69.92,0.79,160.4,26.74,61.69
2015-04-25,25.67,75.66,1.82,198.3,20.83,79.22
2015-04-26,26.89,69.42,1.17,122.1,5.02,48.77
2015-04-27,27.19,69.59,1.55,121.7,0.82,39.49
2015-04-28,27.79,65.24,1.18,135.5,0.0,7.45
2015-04-29,28.67,64.99,1.35,150.7,0.62,41.3
2015-04-30,28.9,65.44,1.33,199.3,2.2,30.77
2015-05-01,28.83,64.01,1.61,192.7,3.38,28.88
2015-05-02,27.99,69.11,1.29,235.3,3.82,48.86
2015-05-03,27.84,68.48,0.83,294.6,1.05,57.67
2015-05-04,27.52,70.14,1.46,123.9,0.69,70.17
2015-05-05,27.84,66.0,1.12,129.2,0.05,74.97
2015-05-06,27.29,70.99,1.11,146.3,1.13,78.54
2015-05-07,27.67,71.94,1.05,159.7,3.47,89.5
2015-05-08,28.0,70.58,1.09,270.2,1.94,63.71
2015-05-09,27.61,71.31,1.17,243.0,1.38,80.91
2015-05-10,28.12,65.15,1.2,153.9,1.72,91.66
2015-05-11,27.09,62.6,1.46,132.1,2.61,98.25
2015-05-12,27.96,60.29,1.69,92.6,1.2,94.15
2015-05-13,25.79,75.91,1.65,69.7,24.27,98.8
2015-05-14,25.98,72.26,1.86,12.6,4.03,99.34
2015-05-15,25.71,80.13,1.09,129.7,13.09,92.44
2015-05-16,25.68,84.89,1.26,113.6,18.22,80.52
2015-05-17,25.91,80.65,1.08,203.5,12.45,70.6
2015-05-18,26.93,75.11,1.89,262.9,0.68,85.3
2015-05-19,27.91,71.85,1.93,241.9,3.99,58.02
2015-05-20,28.39,71.13,2.11,255.0,0.6,33.43
2015-05-21,28.66,67.28,3.12,264.2,0.0,7.17
2015-05-22,27.08,71.49,2.77,279.9,0.0,75.25
2015-05-23,27.32,68.91,3.23,278.9,0.0,97.41
2015-05-24,28.38,66.27,2.63,282.7,2.22,53.66
2015-05-25,27.15,72.84,2.81,290.4,0.06,50.94
2015-05-26,28.5,65.65,2.48,274.4,0.04,78.76
2015-05-27,25.52,79.42,2.76,220.1,11.48,58.81
2015-05-28,24.18,69.5,3.43,280.8,2.11,97.36
2015-05-29,27.73,70.88,1.84,289.2,5.77,54.21
2015-05-30,28.23,69.93,1.69,304.2,1.06,51.8
2015-05-31,28.45,71.1,1.33,247.6,7.78,54.63
2015-06-01,27.36,74.89,1.77,279.4,7.73,98.87
2015-06-02,26.26,78.07,1.77,291.0,1.68,85.86
2015-06-03,25.98,80.99,1.18,239.3,2.59,55.14
2015-06-04,26.47,79.91,1.09,201.0,20.85,82.85
2015-06-05,25.32,86.1,1.3,229.2,12.26,83.68
2015-06-06,26.66,75.49,1.13,216.5,0.01,87.61
2015-06-07,27.46,69.98,2.3,238.4,0.0,59.24
2015-06-08,26.47,72.78,2.11,244.9,0.06,53.1
2015-06-09,26.78,75.47,1.73,284.9,2.22,61.15
2015-06-10,26.73,75.95,1.97,272.8,1.1,80.14
2015-06-11,27.22,74.12,2.25,258.4,8.57,74.53
2015-06-12,25.63,79.99,2.34,266.3,0.36,99.43
2015-06-13,26.5,74.45,2.36,265.9,4.09,68.97
2015-06-14,26.41,70.26,3.22,286.4,0.57,75.26
2015-06-15,25.98,67.32,3.74,284.2,0.48,94.77
2015-06-16,25.58,66.54,3.51,279.3,0.47,83.85
2015-06-17,25.51,70.93,3.45,267.2,0.73,99.9
2015-06-18,24.78,72.77,3.36,280.5,2.03,99.9
2015-06-19,25.61,72.93,3.69,265.5,4.79,99.16
2015-06-20,26.59,67.78,4.85,268.0,1.09,99.86
2015-06-21,26.15,69.65,5.1,252.9,3.15,97.65
2015-06-22,26.97,67.98,4.84,260.1,0.3,84.95
2015-06-23,26.51,75.73,3.36,246.7,3.78,79.69
2015-06-24,26.11,76.79,3.04,244.1,0.27,53.37
2015-06-25,26.8,73.5,3.81,257.0,0.8,79.26
2015-06-26,26.66,67.93,4.79,261.8,0.54,98.4
2015-06-27,26.8,67.68,3.92,259.9,0.0,69.74
2015-06-28,27.0,71.91,2.91,276.3,0.31,44.45
2015-06-29,27.02,71.72,2.79,257.5,0.48,51.79
2015-06-30,27.92,62.37,2.69,280.2,0.07,47.6
2015-07-01,27.35,67.13,2.55,268.4,0.01,54.15
2015-07-02,27.92,65.39,2.59,278.3,0.0,43.87
2015-07-03,28.25,66.92,2.75,280.3,0.54,80.56
2015-07-04,28.03,68.65,2.97,286.3,0.06,47.2
2015-07-05,28.53,63.46,3.41,295.0,0.0,27.35
2015-07-06,28.42,60.74,3.99,286.9,0.17,26.81
2015-07-07,27.93,60.27,4.08,281.0,0.24,49.73
2015-07-08,28.19,61.81,3.81,277.0,0.27,57.3
2015-07-09,28.74,61.66,3.95,283.8,0.56,78.55
2015-07-10,26.61,72.58,3.42,276.9,1.79,99.47
2015-07-11,27.3,68.54,3.52,273.3,0.44,86.18
2015-07-12,28.28,62.29,2.91,288.9,0.08,42.64
2015-07-13,28.83,60.94,2.72,284.9,0.1,51.46
2015-07-14,28.99,61.94,2.35,291.0,0.01,73.14
2015-07-15,27.45,69.33,2.93,292.5,0.18,92.43
2015-07-16,27.86,64.68,3.5,281.8,0.85,75.25
2015-07-17,26.93,66.91,4.09,261.1,0.85,88.48
2015-07-18,27.0,66.21,4.14,274.7,1.37,96.37
2015-07-19,25.72,69.39,4.66,267.4,0.9,99.63
2015-07-20,27.0,66.21,4.0,278.8,2.01,88.48
2015-07-21,26.47,73.58,2.86,272.9,5.31,93.57
2015-07-22,26.65,72.43,2.7,264.7,0.98,62.36
2015-07-23,26.9,66.94,2.66,263.2,2.74,86.51
2015-07-24,26.71,67.51,2.56,258.3,1.12,64.78
2015-07-25,26.5,68.24,2.77,269.0,3.21,73.86
2015-07-26,26.07,67.4,2.6,270.2,0.29,99.53
2015-07-27,26.81,64.25,2.45,274.9,2.19,87.15
2015-07-28,27.92,60.61,2.56,283.5,0.38,76.96
2015-07-29,27.92,60.44,2.3,270.1,0.01,71.78
2015-07-30,28.45,58.94,2.57,287.6,0.0,92.87
2015-07-31,27.96,61.69,2.72,288.1,0.17,93.18
2015-08-01,27.01,66.19,2.54,307.8,1.08,99.15
2015-08-02,26.89,66.7,2.42,289.9,0.32,82.4
2015-08-03,26.73,69.04,2.79,283.6,2.6,93.16
2015-08-04,27.65,64.69,3.34,281.0,1.25,92.43
2015-08-05,26.65,60.71,3.89,271.7,1.21,62.26
2015-08-06,27.52,60.83,3.7,278.5,0.48,52.2
2015-08-07,28.53,61.7,3.46,280.7,1.4,84.93
2015-08-08,28.32,60.01,3.45,285.9,0.13,80.96
2015-08-09,27.82,61.51,3.5,275.6,0.27,74.66
2015-08-10,27.61,65.14,3.01,269.6,1.74,81.79
2015-08-11,26.45,71.08,2.97,272.2,2.75,91.14
2015-08-12,27.49,64.67,2.8,277.8,0.13,98.51
2015-08-13,27.02,66.0,2.81,274.4,0.95,80.76
2015-08-14,28.9,58.71,2.9,289.5,0.15,49.21
2015-08-15,28.6,63.91,2.41,296.6,5.42,49.01
2015-08-16,26.94,73.69,1.81,312.4,10.92,93.13
