Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,26.19,79.68,1.74,144.8,3.38,58.09
2015-01-02,25.67,75.32,1.48,135.9,0.01,44.36
2015-01-03,24.76,73.5,1.36,129.0,0.0,34.07
2015-01-04,25.38,76.35,1.63,98.4,0.0,28.55
2015-01-05,24.92,75.43,1.74,75.9,0.0,34.18
2015-01-06,24.81,74.85,1.57,65.7,0.0,35.3
2015-01-07,24.19,74.46,1.56,52.3,0.0,24.27
2015-01-08,24.52,74.68,1.4,89.6,0.0,41.11
2015-01-09,24.33,75.82,2.01,80.1,0.0,43.66
2015-01-10,23.4,67.76,2.1,51.8,0.0,39.13
2015-01-11,21.96,68.14,2.37,46.6,0.0,13.6
2015-01-12,21.91,67.0,2.03,46.7,0.0,14.42
2015-01-13,21.86,68.02,1.99,33.5,0.0,17.15
2015-01-14,22.25,68.71,1.76,54.6,0.0,21.79
2015-01-15,22.35,68.03,1.73,50.3,0.0,18.28
2015-01-16,23.9,74.22,1.93,63.2,0.01,31.38
2015-01-17,24.48,73.55,2.17,70.1,0.01,43.78
2015-01-18,24.04,71.45,2.08,59.7,0.0,36.3
2015-01-19,23.58,69.17,2.11,61.1,0.0,18.81
2015-01-20,23.14,70.96,1.87,67.3,0.0,14.4
2015-01-21,22.84,70.85,2.2,50.6,0.01,25.26
2015-01-22,23.46,72.12,1.98,57.9,0.05,12.38
2015-01-23,24.8,75.34,2.29,74.3,0.77,50.73
2015-01-24,24.97,73.43,2.51,71.0,0.21,51.61
2015-01-25,24.79,65.01,2.5,60.2,0.0,56.0
2015-01-26,23.75,70.66,2.43,56.9,0.0,26.22
2015-01-27,24.41,71.31,2.71,71.0,0.0,35.84
2015-01-28,25.12,71.08,2.37,66.9,0.0,59.77
2015-01-29,25.44,68.81,1.98,62.6,0.0,56.18
2015-01-30,25.54,67.14,2.01,68.6,0.0,64.58
2015-01-31,24.96,63.21,2.49,62.2,0.0,62.3
2015-02-01,24.48,68.67,2.24,64.2,0.0,22.16
2015-02-02,24.1,66.35,2.64,59.7,0.0,43.63
2015-02-03,24.47,67.54,3.0,53.1,0.0,27.24
2015-02-04,23.79,71.53,2.57,58.3,0.18,48.26
2015-02-05,25.17,65.87,2.53,63.1,0.1,83.09
2015-02-06,24.73,66.95,2.34,63.7,0.0,43.42
2015-02-07,24.9,63.27,2.09,58.6,0.02,30.4
2015-02-08,24.94,60.99,1.89,49.6,0.0,13.93
2015-02-09,24.89,64.12,2.2,61.9,0.0,18.22
2015-02-10,24.29,69.49,2.36,53.5,0.0,46.21
2015-02-11,26.19,65.83,2.35,59.9,0.0,43.2
2015-02-12,26.81,64.71,2.57,65.4,0.01,25.48
2015-02-13,27.06,62.58,1.97,69.0,0.01,33.11
2015-02-14,26.7,59.79,1.85,78.1,0.0,30.33
2015-02-15,26.38,56.65,1.89,80.8,0.0,15.83
2015-02-16,25.9,56.92,2.01,81.4,0.0,13.39
2015-02-17,25.53,55.27,1.47,86.0,0.0,24.28
2015-02-18,25.52,52.6,1.67,103.7,0.0,81.95
2015-02-19,25.7,53.63,1.72,91.7,0.0,33.98
2015-02-20,25.42,57.53,2.52,78.2,0.0,10.15
2015-02-21,25.43,58.86,2.65,70.9,0.0,10.78
2015-02-22,25.57,56.78,2.81,64.5,0.0,11.06
2015-02-23,25.58,54.44,2.4,73.0,0.0,12.85
2015-02-24,26.05,53.18,1.96,78.5,0.0,17.36
2015-02-25,27.59,57.77,1.98,89.0,0.0,32.69
2015-02-26,28.86,59.81,1.82,113.7,0.37,46.27
2015-02-27,28.87,62.06,1.83,141.2,0.84,62.49
2015-02-28,29.04,60.46,2.61,139.1,0.12,76.14
2015-03-01,29.42,58.57,2.8,143.8,0.03,65.61
2015-03-02,29.77,58.95,2.3,134.3,0.09,68.38
2015-03-03,29.5,57.47,2.36,120.4,0.27,73.77
2015-03-04,28.55,50.69,1.53,147.6,0.21,72.76
2015-03-05,29.62,54.86,2.48,117.8,0.01,43.03
2015-03-06,30.09,55.66,2.23,107.1,1.3,49.03
2015-03-07,29.33,58.13,2.45,93.0,2.25,65.06
2015-03-08,28.67,56.97,2.55,102.4,0.32,46.21
2015-03-09,28.72,58.25,2.39,89.0,0.03,45.06
2015-03-10,28.15,52.81,2.38,65.9,0.0,29.74
2015-03-11,27.77,56.07,2.66,77.9,0.0,17.22
2015-03-12,28.83,56.49,3.19,73.1,0.0,50.6
2015-03-13,29.02,56.12,3.17,87.9,0.0,31.45
2015-03-14,28.15,60.29,2.83,97.4,2.05,73.7
2015-03-15,28.02,66.61,2.76,107.9,1.78,84.19
2015-03-16,28.27,63.97,2.56,99.9,3.01,79.99
2015-03-17,27.66,59.12,1.79,95.8,1.79,43.84
2015-03-18,28.07,50.04,1.57,124.3,0.0,43.3
2015-03-19,28.07,44.91,1.65,126.0,0.0,17.86
2015-03-20,28.48,54.26,2.0,95.4,0.0,15.49
2015-03-21,28.82,51.52,2.3,91.9,0.0,13.55
2015-03-22,29.25,51.18,2.02,111.0,0.0,13.02
2015-03-23,30.31,47.23,1.83,129.4,0.0,20.91
2015-03-24,30.83,48.64,2.36,125.9,0.0,19.75
2015-03-25,29.8,52.25,2.67,128.2,0.0,33.09
2015-03-26,29.53,51.26,2.51,97.5,0.0,34.66
2015-03-27,29.55,51.29,2.35,77.4,0.0,19.57
2015-03-28,29.65,54.81,2.28,86.0,0.02,50.77
2015-03-29,30.54,53.6,2.67,104.3,0.06,37.0
2015-03-30,30.73,52.82,2.76,116.8,0.01,48.74
2015-03-31,30.53,55.77,2.28,110.4,0.14,84.69
2015-04-01,30.19,60.44,2.51,133.5,9.05,81.78
2015-04-02,30.12,61.28,1.93,156.8,1.33,73.53
2015-04-03,31.72,54.29,1.13,237.2,0.29,57.51
2015-04-04,31.52,56.25,1.48,132.0,0.33,61.61
2015-04-05,31.66,54.74,2.74,144.0,0.0,43.37
2015-04-06,31.08,56.82,2.74,144.1,0.04,52.11
2015-04-07,30.38,59.23,2.48,136.0,0.16,53.43
2015-04-08,29.06,58.48,1.63,144.9,0.19,96.88
2015-04-09,29.37,53.05,2.44,132.0,0.25,72.15
2015-04-10,29.46,62.73,1.9,132.2,0.75,62.63
2015-04-11,30.89,55.81,1.86,147.0,1.04,67.06
2015-04-12,28.98,63.39,1.64,125.4,3.78,84.05
2015-04-13,26.5,72.73,2.16,127.9,7.19,82.24
2015-04-14,27.39,67.33,1.26,132.1,2.73,63.02
2015-04-15,26.79,77.18,2.59,125.7,18.24,67.45
2015-04-16,26.7,79.55,1.5,90.2,17.67,74.11
2015-04-17,27.51,73.86,0.91,4.9,16.72,62.74
2015-04-18,28.45,69.31,1.4,83.3,7.76,46.23
2015-04-19,29.08,67.32,1.35,121.0,0.04,58.52
2015-04-20,29.23,66.85,1.95,110.2,0.56,98.29
2015-04-21,27.81,72.38,1.73,110.1,1.43,95.78
2015-04-22,27.4,73.8,1.5,156.7,0.96,90.56
2015-04-23,29.3,65.22,1.17,232.4,3.35,60.21
2015-04-24,29.1,68.12,1.17,147.7,5.85,76.82
2015-04-25,27.53,70.49,1.31,197.0,9.12,69.88
2015-04-26,28.62,62.98,1.86,132.1,2.32,63.96
2015-04-27,28.65,67.51,1.99,122.7,0.28,69.34
2015-04-28,29.31,65.73,1.66,135.1,0.02,27.36
2015-04-29,30.14,62.24,2.18,145.2,0.19,30.86
2015-04-30,30.72,61.46,1.28,243.3,0.27,42.28
2015-05-01,29.91,62.21,2.05,165.2,0.17,42.89
2015-05-02,30.46,60.07,1.34,260.9,0.13,40.56
2015-05-03,30.43,61.51,1.57,342.7,0.02,68.71
2015-05-04,29.21,69.01,1.46,106.3,2.18,69.52
2015-05-05,29.15,67.7,1.45,121.7,2.35,78.53
2015-05-06,28.36,72.4,1.32,132.4,4.54,74.48
2015-05-07,28.16,74.27,1.47,167.2,10.38,80.76
2015-05-08,28.57,74.04,1.33,286.9,9.7,67.49
2015-05-09,28.31,75.45,1.28,275.5,8.44,88.32
2015-05-10,29.06,66.14,1.59,139.1,2.06,98.05
2015-05-11,27.28,67.84,1.52,110.6,8.54,99.17
2015-05-12,27.7,65.34,1.15,201.9,18.22,98.1
2015-05-13,26.66,75.88,1.54,26.3,12.43,97.35
2015-05-14,27.57,75.47,1.12,128.2,12.81,98.81
2015-05-15,26.35,87.2,1.22,129.8,28.12,98.09
2015-05-16,26.76,86.36,1.26,231.2,5.71,98.18
2015-05-17,25.89,89.53,1.55,188.5,5.78,86.56
2015-05-18,28.23,74.76,1.96,255.6,1.9,84.51
2015-05-19,28.73,71.38,1.99,240.8,0.32,61.85
2015-05-20,29.23,69.18,2.09,246.9,0.04,59.18
2015-05-21,29.41,67.6,3.26,264.5,0.0,23.05
2015-05-22,29.94,66.9,2.16,240.7,0.0,83.63
2015-05-23,29.38,69.43,2.48,255.8,0.12,76.52
2015-05-24,29.44,65.32,2.82,267.5,0.05,60.29
2015-05-25,30.3,63.65,2.4,270.5,0.0,37.1
2015-05-26,29.98,65.42,3.13,266.6,0.0,60.04
2015-05-27,27.81,72.12,2.71,289.6,6.63,69.08
2015-05-28,28.0,65.69,2.96,296.5,5.02,84.77
2015-05-29,29.16,66.85,2.21,274.0,0.85,61.71
2015-05-30,29.1,72.78,1.99,267.1,7.8,75.84
2015-05-31,29.31,70.3,1.59,253.9,3.31,57.23
2015-06-01,28.86,68.44,2.47,266.1,0.51,85.7
2015-06-02,28.01,73.76,1.71,289.6,15.8,86.96
2015-06-03,28.17,75.13,1.03,260.9,0.8,91.34
2015-06-04,28.16,76.85,0.68,243.4,3.51,95.68
2015-06-05,26.99,83.19,1.23,241.6,17.82,96.72
2015-06-06,28.73,70.5,0.87,339.8,0.08,86.48
2015-06-07,28.94,66.81,2.2,250.5,0.29,69.89
2015-06-08,28.03,68.37,2.35,255.4,0.5,58.7
2015-06-09,28.25,69.87,2.29,281.6,0.15,75.69
2015-06-10,27.57,75.44,1.74,273.3,0.61,76.51
2015-06-11,28.05,72.63,2.49,275.0,2.18,82.36
2015-06-12,27.48,71.57,3.26,276.9,0.02,98.77
2015-06-13,27.63,72.35,2.64,268.3,6.66,82.42
2015-06-14,27.96,67.3,3.43,278.5,0.13,72.1
2015-06-15,27.95,64.57,4.01,280.5,0.2,92.51
2015-06-16,26.69,67.58,3.75,272.8,0.23,94.89
2015-06-17,26.73,67.28,4.06,271.6,0.21,98.35
2015-06-18,27.23,69.71,3.96,280.7,1.06,97.78
2015-06-19,27.72,68.42,4.65,275.8,1.61,97.96
2015-06-20,28.34,67.97,4.63,269.8,0.49,97.41
2015-06-21,27.71,67.83,4.61,259.9,1.55,96.43
2015-06-22,28.82,65.32,4.39,261.8,0.28,82.0
2015-06-23,28.17,71.95,2.82,250.8,1.37,71.09
2015-06-24,28.62,68.52,3.06,254.1,0.14,52.54
2015-06-25,28.4,70.98,3.43,262.5,0.32,69.06
2015-06-26,27.26,63.68,5.6,268.5,0.93,95.1
2015-06-27,28.28,61.78,4.61,265.6,0.25,84.84
2015-06-28,28.96,67.49,3.57,278.8,0.24,49.41
2015-06-29,28.21,68.23,3.57,257.6,1.14,61.97
2015-06-30,28.94,59.79,3.84,277.9,7.98,68.51
2015-07-01,28.41,70.71,2.32,257.2,6.35,29.14
2015-07-02,29.07,65.38,3.33,276.5,0.01,31.57
2015-07-03,29.31,65.64,3.37,271.5,0.05,34.76
2015-07-04,29.05,67.05,3.82,276.1,0.09,32.87
2015-07-05,29.3,65.73,4.28,279.2,0.01,37.21
2015-07-06,28.65,63.45,5.19,277.4,0.01,63.07
2015-07-07,27.57,66.38,4.38,279.4,0.01,68.04
2015-07-08,28.47,64.42,4.1,270.1,0.1,73.8
2015-07-09,29.7,62.01,4.39,275.4,0.06,67.54
2015-07-10,28.44,68.08,4.19,279.3,0.18,98.67
2015-07-11,28.48,67.54,3.97,272.0,0.2,86.87
2015-07-12,29.23,61.8,3.68,282.0,0.02,57.01
2015-07-13,29.34,62.57,3.65,281.1,0.04,24.39
2015-07-14,29.83,62.28,4.13,278.8,0.12,64.95
2015-07-15,28.82,66.86,4.27,281.9,0.14,87.48
2015-07-16,29.02,62.63,4.54,275.3,0.09,89.71
2015-07-17,28.03,61.88,5.61,272.2,0.65,96.71
2015-07-18,28.21,60.62,5.67,277.3,0.21,99.0
2015-07-19,26.89,64.0,4.91,274.7,1.48,95.96
2015-07-20,27.66,65.69,4.1,273.5,0.17,89.0
2015-07-21,28.32,66.91,3.77,274.0,2.77,94.75
2015-07-22,28.04,66.59,3.83,272.4,0.55,95.34
2015-07-23,28.1,64.66,3.16,269.5,1.58,90.13
2015-07-24,27.92,65.54,2.83,265.6,0.39,79.42
2015-07-25,27.65,64.29,2.98,271.9,0.57,81.6
2015-07-26,27.9,61.07,3.2,268.2,0.02,92.34
2015-07-27,28.99,57.25,3.07,282.3,0.37,94.66
2015-07-28,29.28,61.25,2.32,274.6,5.12,78.21
2015-07-29,28.42,64.31,2.01,271.1,2.32,75.61
2015-07-30,28.9,60.91,2.86,273.1,0.0,79.01
2015-07-31,29.75,58.03,3.1,281.7,0.01,60.21
2015-08-01,28.99,61.74,2.69,290.3,0.58,91.94
2015-08-02,28.31,63.45,2.85,287.1,0.69,96.88
2015-08-03,27.75,68.2,3.09,277.0,3.55,76.13
2015-08-04,29.15,61.16,3.81,272.9,0.16,87.96
2015-08-05,28.61,58.4,4.06,271.1,0.05,75.23
2015-08-06,29.01,58.68,4.11,273.8,0.06,44.34
2015-08-07,28.49,62.9,3.95,270.0,0.1,73.29
2015-08-08,29.44,61.68,3.72,278.6,0.28,49.55
2015-08-09,29.35,61.1,4.49,272.8,0.07,72.98
2015-08-10,28.88,60.9,4.51,269.5,0.76,84.19
2015-08-11,29.08,62.53,3.86,282.6,0.05,89.96
2015-08-12,28.93,61.58,4.11,270.4,0.05,94.11
2015-08-13,28.45,65.64,3.62,275.9,0.36,87.73
2015-08-14,29.76,59.75,3.82,284.4,0.49,74.98
2015-08-15,29.99,61.42,3.11,285.5,1.46,70.05
2015-08-16,26.94,78.31,2.06,294.2,24.85,93.93
2015-08-17,28.26,70.69,1.73,238.6,10.03,58.35
2015-08-18,28.2,71.09,2.3,143.9,3.12,53.99
2015-08-19,27.63,72.72,2.63,165.3,1.76,68.67
2015-08-20,28.65,66.07,1.93,198.4,0.01,41.64
2015-08-21,29.25,66.42,1.69,248.5,3.53,77.68
2015-08-22,27.87,71.45,2.05,283.6,8.76,97.37
2015-08-23,28.17,63.04,2.9,272.9,1.73,95.09
2015-08-24,28.82,59.63,2.62,274.1,0.17,55.26
2015-08-25,29.22,58.31,2.93,281.8,0.01,30.94
2015-08-26,28.87,59.54,3.08,278.8,0.0,86.41
2015-08-27,28.76,63.03,3.35,270.8,0.03,76.46
2015-08-28,29.63,58.43,3.01,267.3,0.0,53.82
2015-08-29,30.18,59.09,2.93,274.1,0.0,34.78
2015-08-30,30.74,56.22,2.15,274.9,0.0,28.54
2015-08-31,30.84,55.8,1.97,283.3,0.0,42.08
2015-09-01,29.93,62.6,1.58,300.7,1.94,58.63
2015-09-02,27.91,70.9,1.51,291.4,8.81,97.48
2015-09-03,27.84,71.79,0.83,305.8,6.59,99.32
2015-09-04,28.04,67.86,1.51,160.6,0.34,74.75
2015-09-05,28.13,70.56,2.08,180.4,3.44,85.25
2015-09-06,27.64,72.85,2.12,205.9,2.29,74.59
2015-09-07,26.61,73.6,2.05,219.7,0.82,99.84
2015-09-08,27.8,61.6,2.48,240.1,0.18,90.07
2015-09-09,28.12,62.7,2.57,248.5,1.29,71.61
2015-09-10,28.24,65.81,2.2,258.6,0.3,78.88
2015-09-11,27.81,68.44,2.22,256.1,0.23,63.15
2015-09-12,29.39,61.82,3.09,267.9,0.41,80.82
2015-09-13,29.16,61.19,3.28,269.4,0.0,58.33
2015-09-14,29.49,58.16,4.27,270.4,0.02,82.49
2015-09-15,28.66,62.7,3.8,262.8,0.11,74.87
2015-09-16,29.2,62.25,4.25,274.8,0.45,48.51
2015-09-17,28.84,59.73,4.11,272.3,0.15,62.06
2015-09-18,29.21,60.43,3.44,270.8,0.14,67.79
2015-09-19,29.36,61.91,2.76,266.8,0.25,93.07
2015-09-20,28.93,64.4,2.5,271.1,0.13,94.72
2015-09-21,28.65,59.97,1.71,240.8,0.01,64.82
2015-09-22,30.78,57.92,1.02,273.0,0.23,38.52
2015-09-23,29.0,67.52,1.39,296.0,1.57,64.11
2015-09-24,29.04,65.04,2.02,157.5,2.04,81.47
2015-09-25,30.17,62.3,1.09,222.2,0.94,55.45
2015-09-26,31.15,57.43,1.79,289.9,0.46,67.39
2015-09-27,27.4,77.61,1.18,82.9,38.25,84.4
2015-09-28,27.62,74.36,1.24,155.5,7.84,89.79
2015-09-29,26.08,85.22,1.55,167.1,33.53,91.83
2015-09-30,26.01,80.1,1.57,142.3,3.23,92.5
2015-10-01,25.97,80.6,1.92,175.9,3.5,83.97
2015-10-02,27.0,78.1,1.82,215.6,11.99,56.23
2015-10-03,28.4,71.76,1.62,279.5,1.17,77.44
2015-10-04,27.18,77.35,1.45,281.5,1.36,87.21
2015-10-05,26.09,81.96,1.33,319.2,10.15,98.23
2015-10-06,27.3,70.31,1.91,281.4,6.24,85.12
2015-10-07,27.5,72.24,1.53,244.3,7.61,62.68
2015-10-08,27.22,73.9,1.51,236.8,1.73,36.2
2015-10-09,26.92,71.5,2.0,260.3,0.46,66.65
2015-10-10,27.26,74.56,1.54,252.6,2.32,51.72
2015-10-11,27.46,75.4,0.99,333.2,5.63,66.11
2015-10-12,25.89,86.99,1.34,40.0,14.93,88.78
2015-10-13,27.06,75.15,1.41,139.5,0.16,45.68
2015-10-14,27.04,72.83,1.55,119.7,0.61,43.84
2015-10-15,26.93,71.41,1.36,102.3,0.1,23.5
2015-10-16,27.0,71.06,1.53,80.7,0.02,27.01
2015-10-17,27.04,72.14,1.81,73.3,0.04,39.78
2015-10-18,26.68,80.86,1.69,69.6,5.05,86.74
2015-10-19,26.39,84.18,1.6,87.8,3.95,94.66
2015-10-20,27.22,77.49,1.76,92.3,0.92,83.97
2015-10-21,27.53,73.58,1.97,92.9,0.17,53.05
2015-10-22,27.46,70.31,1.74,77.3,0.05,68.31
2015-10-23,27.35,66.33,1.41,38.8,0.1,73.0
2015-10-24,27.16,75.38,2.01,66.6,1.73,84.85
2015-10-25,26.39,69.68,2.47,59.6,0.49,81.49
2015-10-26,26.36,69.11,2.14,50.7,0.04,98.68
2015-10-27,26.47,70.3,1.45,18.0,1.01,95.49
2015-10-28,25.2,84.31,1.41,61.8,9.68,89.79
2015-10-29,26.35,74.03,1.71,52.6,0.38,58.45
2015-10-30,25.96,78.57,1.43,53.0,3.22,64.96
2015-10-31,24.9,88.81,2.01,87.4,8.2,89.2
2015-11-01,25.4,86.31,2.75,140.0,11.5,98.73
2015-11-02,25.35,84.25,1.49,162.9,10.86,98.53
2015-11-03,26.26,81.65,1.16,148.8,7.18,81.16
2015-11-04,26.05,84.31,1.44,90.1,16.13,82.29
2015-11-05,25.85,84.93,0.93,75.1,13.88,97.55
2015-11-06,25.92,82.47,1.68,53.6,3.1,62.75
2015-11-07,24.96,88.08,1.94,39.6,5.55,92.83
2015-11-08,24.52,90.3,1.65,23.1,5.73,99.11
2015-11-09,24.86,87.43,2.24,282.3,13.32,99.12
2015-11-10,25.9,80.11,2.17,268.0,7.8,99.11
2015-11-11,24.77,84.62,1.18,62.0,2.33,98.82
2015-11-12,25.62,84.24,1.37,83.8,2.97,92.7
2015-11-13,23.87,88.51,2.04,352.8,5.47,96.79
2015-11-14,23.7,88.39,1.96,14.0,2.58,99.45
2015-11-15,24.05,88.55,2.01,347.3,6.6,99.75
2015-11-16,24.66,86.82,1.53,328.4,4.98,96.08
2015-11-17,24.67,86.45,1.14,1.0,2.12,88.67
2015-11-18,24.11,93.39,1.5,30.5,5.34,98.74
2015-11-19,24.58,92.85,2.39,84.3,2.91,98.13
2015-11-20,24.69,89.94,1.79,86.1,5.98,80.97
2015-11-21,24.49,86.72,1.94,54.9,3.93,79.14
2015-11-22,24.38,92.15,2.51,66.1,20.27,97.66
2015-11-23,24.45,90.2,1.2,65.0,5.94,93.58
2015-11-24,25.19,88.37,2.23,58.2,1.91,73.62
2015-11-25,23.77,84.16,1.91,43.7,0.01,25.28
2015-11-26,23.12,85.02,1.56,27.6,0.03,20.35
2015-11-27,24.28,87.07,1.83,51.6,0.13,58.69
2015-11-28,23.97,84.09,1.69,44.1,0.12,66.11
2015-11-29,23.89,89.7,2.0,40.0,21.87,87.19
2015-11-30,23.92,89.45,1.73,12.5,8.2,97.01
2015-12-01,24.03,91.21,2.25,15.5,2.81,96.17
2015-12-02,23.95,92.19,1.71,9.2,3.53,95.61
2015-12-03,24.15,88.06,2.46,359.0,2.55,96.54
2015-12-04,24.59,87.97,2.86,16.5,3.87,79.6
2015-12-05,24.01,91.39,3.22,36.1,7.62,86.73
2015-12-06,24.04,94.74,3.02,48.4,7.41,94.3
2015-12-07,24.43,91.26,3.1,47.8,9.6,97.73
2015-12-08,23.08,90.56,3.02,25.6,9.17,99.47
2015-12-09,23.69,91.69,1.92,46.5,2.98,83.52
2015-12-10,24.9,91.13,2.07,71.2,5.27,69.91
2015-12-11,24.83,88.83,1.52,64.4,1.86,83.03
2015-12-12,24.81,89.58,1.58,81.7,2.63,79.35
2015-12-13,24.97,85.58,1.09,93.8,0.46,68.27
2015-12-14,25.07,88.44,1.5,63.7,7.96,64.99
2015-12-15,24.43,86.66,1.45,74.5,0.77,80.66
2015-12-16,22.8,85.61,1.53,52.7,0.03,43.74
2015-12-17,23.3,86.94,1.48,63.7,0.04,37.91
2015-12-18,24.2,88.43,1.86,78.8,2.72,76.59
2015-12-19,24.2,88.31,2.04,66.3,3.18,68.27
2015-12-20,23.89,87.93,2.03,76.4,0.88,52.32
2015-12-21,22.65,80.36,1.41,67.5,0.02,27.27
2015-12-22,22.34,82.52,1.38,61.0,0.0,20.41
2015-12-23,22.93,84.92,1.73,63.2,0.0,29.28
2015-12-24,22.75,84.56,1.65,53.8,0.0,30.14
2015-12-25,22.65,83.64,2.05,53.3,0.0,24.39
2015-12-26,22.7,84.23,2.4,50.4,0.0,38.74
2015-12-27,23.54,84.8,2.83,45.6,0.69,52.06
2015-12-28,23.45,84.38,3.13,41.7,0.15,76.36
2015-12-29,23.41,83.39,2.71,45.7,0.08,55.69
2015-12-30,23.11,78.81,2.13,46.5,0.0,21.46
2015-12-31,22.33,81.27,2.41,52.8,0.0,41.0
2016-01-01,21.9,79.95,2.36,44.7,0.0,40.11
2016-01-02,21.73,78.43,2.25,36.2,0.0,41.93
2016-01-03,21.22,76.89,1.97,37.0,0.0,18.62
2016-01-04,21.37,78.63,1.86,48.4,0.0,43.68
2016-01-05,22.43,79.58,1.86,44.9,0.0,32.6
2016-01-06,23.21,78.6,1.99,52.0,0.0,61.57
2016-01-07,22.96,80.43,2.03,57.7,0.0,72.46
2016-01-08,22.63,78.04,1.85,45.6,0.0,72.02
2016-01-09,22.75,77.84,1.81,51.2,0.0,45.44
2016-01-10,22.26,77.97,2.0,53.3,0.0,23.44
2016-01-11,22.12,76.29,2.0,47.3,0.0,21.74
2016-01-12,21.99,75.76,1.98,48.5,0.0,13.64
2016-01-13,22.53,76.23,1.66,48.7,0.0,53.23
2016-01-14,21.29,76.03,1.62,40.8,0.0,13.28
2016-01-15,21.22,77.27,1.51,47.9,0.0,18.95
2016-01-16,22.53,76.82,1.65,54.9,0.0,19.92
2016-01-17,22.85,76.84,1.59,67.8,0.0,56.98
2016-01-18,23.38,75.59,1.66,73.5,0.0,36.94
2016-01-19,24.62,77.4,1.66,94.1,0.0,79.65
2016-01-20,25.34,76.47,1.81,94.4,0.21,97.81
2016-01-21,25.64,77.89,1.98,81.6,0.46,74.69
2016-01-22,25.1,76.74,1.98,73.8,0.17,63.05
2016-01-23,25.24,77.19,2.28,64.0,0.05,43.8
2016-01-24,25.96,75.99,2.31,67.1,0.02,56.75
2016-01-25,25.91,75.2,2.3,68.7,0.0,57.51
2016-01-26,25.73,72.34,2.08,84.7,0.0,24.31
2016-01-27,25.32,73.17,1.93,73.1,0.0,36.01
2016-01-28,24.77,68.5,1.54,78.4,0.0,27.44
2016-01-29,24.32,68.37,1.87,65.8,0.0,18.41
2016-01-30,23.83,72.36,1.9,74.2,0.0,35.35
2016-01-31,23.74,74.43,2.01,74.0,0.0,55.67
2016-02-01,23.88,69.76,1.58,75.2,0.0,76.63
2016-02-02,23.49,70.08,1.84,68.8,0.0,64.74
2016-02-03,23.62,67.64,1.56,76.0,0.0,60.2
2016-02-04,23.74,67.63,2.03,74.4,0.0,58.96
2016-02-05,24.37,69.08,1.89,73.6,0.0,42.08
2016-02-06,24.71,70.96,1.77,94.5,0.0,72.39
2016-02-07,26.14,70.21,1.61,78.7,0.03,56.57
2016-02-08,26.65,69.92,2.01,77.1,0.02,65.26
2016-02-09,26.1,67.27,1.65,69.3,0.01,46.45
2016-02-10,26.08,65.72,1.66,78.4,0.02,30.67
2016-02-11,26.19,63.62,1.63,80.9,0.1,34.44
2016-02-12,26.05,62.72,1.71,88.2,0.0,32.27
2016-02-13,26.36,63.0,1.64,87.3,0.0,20.12
2016-02-14,25.76,65.76,1.97,73.5,0.0,17.92
2016-02-15,25.99,66.65,2.17,78.6,0.0,19.37
2016-02-16,26.57,66.55,2.37,79.1,0.0,38.63
2016-02-17,26.34,68.49,2.56,67.2,0.0,65.16
2016-02-18,26.99,67.47,3.03,73.8,0.0,74.2
2016-02-19,27.01,68.13,2.43,76.5,0.0,56.7
2016-02-20,28.21,65.35,2.07,93.1,0.01,27.79
2016-02-21,28.73,63.28,1.9,100.1,0.24,46.01
2016-02-22,28.52,60.23,1.95,103.8,0.13,18.47
2016-02-23,27.29,60.03,1.84,116.7,0.0,13.26
2016-02-24,27.51,56.19,1.62,125.0,0.0,19.19
2016-02-25,28.42,60.51,1.93,113.9,0.0,27.72
