Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,25.45,74.87,0.82,150.1,3.02,43.66
2015-01-02,25.72,66.18,1.12,205.4,0.07,37.45
2015-01-03,25.14,66.27,0.87,131.7,0.0,34.97
2015-01-04,25.37,67.17,1.01,117.6,0.0,30.85
2015-01-05,24.86,66.81,1.06,91.6,0.0,30.2
2015-01-06,24.52,67.43,0.89,85.8,0.0,38.99
2015-01-07,24.41,63.79,0.84,80.8,0.0,23.23
2015-01-08,24.11,67.92,0.9,113.3,0.0,29.04
2015-01-09,24.08,68.86,1.33,88.7,0.0,54.89
2015-01-10,23.07,58.18,1.13,64.4,0.0,31.8
2015-01-11,21.21,55.06,1.41,51.1,0.0,14.72
2015-01-12,21.32,58.27,1.21,57.6,0.0,14.27
2015-01-13,21.44,56.77,1.22,48.5,0.0,14.74
2015-01-14,21.34,57.69,1.08,67.7,0.0,17.09
2015-01-15,21.79,59.75,1.01,70.5,0.0,11.84
2015-01-16,23.25,64.46,1.07,80.8,0.0,14.96
2015-01-17,24.01,63.95,1.11,88.0,0.0,32.59
2015-01-18,23.83,62.25,1.16,77.1,0.0,24.64
2015-01-19,23.67,60.35,1.19,80.7,0.0,16.26
2015-01-20,23.43,61.23,1.08,90.5,0.0,15.77
2015-01-21,22.99,61.03,1.17,67.8,0.0,28.38
2015-01-22,23.06,56.56,1.19,76.9,0.0,11.27
2015-01-23,24.53,66.67,1.41,87.0,0.49,39.06
2015-01-24,24.96,66.51,1.72,85.5,0.19,47.91
2015-01-25,25.1,53.02,1.6,73.7,0.0,40.81
2015-01-26,23.48,58.67,1.44,74.0,0.0,13.65
2015-01-27,24.36,62.03,1.7,84.7,0.0,15.59
2015-01-28,25.08,60.94,1.45,84.1,0.0,46.49
2015-01-29,25.63,59.24,1.39,90.9,0.0,41.51
2015-01-30,25.59,58.02,1.36,85.0,0.0,71.33
2015-01-31,25.12,53.25,1.56,74.2,0.0,40.25
2015-02-01,24.63,56.74,1.37,80.5,0.0,14.28
2015-02-02,24.33,56.8,1.76,75.0,0.0,24.26
2015-02-03,23.87,57.4,1.74,68.2,0.0,19.22
2015-02-04,24.45,56.21,1.71,76.8,0.0,32.42
2015-02-05,25.15,52.57,1.42,79.5,0.0,62.33
2015-02-06,24.94,53.08,1.31,82.2,0.0,36.09
2015-02-07,24.88,50.74,1.27,78.6,0.0,20.57
2015-02-08,25.13,48.91,1.14,76.7,0.0,10.33
