Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,26.72,79.18,3.82,258.0,0.17,47.77
2015-01-02,27.21,65.78,2.8,277.9,0.0,25.55
2015-01-03,27.33,61.96,1.51,345.1,0.0,41.62
2015-01-04,26.93,74.79,2.54,68.1,0.0,32.66
2015-01-05,26.72,80.04,4.06,52.3,0.0,33.4
2015-01-06,27.08,75.88,3.47,42.1,0.0,40.11
2015-01-07,26.78,74.17,3.39,44.9,0.01,55.39
2015-01-08,26.93,73.95,2.61,55.5,0.3,49.97
2015-01-09,26.72,77.0,3.51,59.1,0.23,57.45
2015-01-10,26.62,75.84,5.6,54.4,0.03,55.19
2015-01-11,25.85,73.26,6.27,47.1,0.0,27.55
2015-01-12,25.92,68.9,5.45,46.8,0.0,46.18
2015-01-13,25.88,70.29,5.27,45.0,0.0,38.37
2015-01-14,26.16,75.31,4.45,54.0,0.0,44.65
2015-01-15,26.17,70.88,4.58,53.5,0.0,47.4
2015-01-16,26.29,75.67,4.53,55.1,0.0,25.67
2015-01-17,26.8,80.03,5.63,56.1,0.01,50.71
2015-01-18,26.66,78.31,5.9,49.3,0.01,47.05
2015-01-19,26.47,73.58,5.97,52.8,0.0,39.94
2015-01-20,26.21,74.64,5.78,50.0,0.0,30.66
2015-01-21,26.29,75.35,6.19,52.5,0.0,41.62
2015-01-22,26.24,73.51,5.0,47.9,0.0,32.52
2015-01-23,26.78,76.47,4.38,58.2,0.47,52.65
2015-01-24,26.82,77.66,5.31,50.7,0.06,55.01
2015-01-25,26.86,76.87,6.29,56.1,0.11,64.78
2015-01-26,26.67,75.75,6.13,49.4,0.0,39.56
2015-01-27,26.64,74.36,5.83,55.7,0.0,59.92
2015-01-28,26.86,78.37,5.59,55.4,0.01,53.92
2015-01-29,27.3,76.64,4.13,51.1,0.09,54.86
2015-01-30,27.44,75.67,4.89,62.1,0.02,58.65
2015-01-31,27.08,72.72,6.22,54.3,0.0,53.1
2015-02-01,26.92,72.98,5.99,53.2,0.0,28.81
2015-02-02,26.85,73.62,6.72,51.3,0.01,51.91
2015-02-03,26.81,75.22,7.3,47.4,0.03,54.2
2015-02-04,26.63,77.13,6.82,43.6,0.3,85.44
2015-02-05,26.66,79.37,6.61,49.9,0.45,87.74
2015-02-06,27.02,77.27,5.83,51.4,0.17,56.74
2015-02-07,27.24,74.48,5.14,53.4,0.0,42.83
2015-02-08,27.54,70.92,4.63,55.3,0.0,28.47
2015-02-09,27.41,75.45,4.88,56.8,0.63,53.09
2015-02-10,27.14,78.56,5.77,50.4,1.5,84.35
2015-02-11,27.5,77.77,5.25,50.0,0.1,55.35
2015-02-12,27.77,76.97,5.57,56.0,0.02,36.02
2015-02-13,27.79,77.3,4.13,57.0,0.06,41.89
2015-02-14,27.56,74.97,4.0,65.1,0.01,48.59
2015-02-15,27.52,67.54,4.53,57.6,0.0,26.89
2015-02-16,27.22,65.42,4.79,67.4,0.0,52.06
2015-02-17,27.28,64.99,3.45,74.2,0.0,85.24
2015-02-18,26.94,60.89,3.5,79.3,0.0,95.45
2015-02-19,27.18,62.16,3.46,77.9,0.0,46.07
2015-02-20,27.06,65.99,5.15,61.5,0.0,31.62
2015-02-21,27.28,72.39,5.82,56.7,0.0,30.12
2015-02-22,27.54,69.09,5.59,56.4,0.0,26.7
2015-02-23,27.54,69.12,5.23,55.4,0.0,31.93
2015-02-24,27.67,75.54,3.97,60.0,0.01,40.32
2015-02-25,27.88,75.86,3.33,81.6,0.25,44.72
2015-02-26,27.97,74.43,2.25,175.3,0.15,50.5
2015-02-27,27.93,74.45,2.53,243.1,1.1,66.98
2015-02-28,27.76,75.39,1.96,205.4,0.73,55.42
2015-03-01,27.88,72.72,1.94,171.2,0.03,32.36
2015-03-02,28.19,71.25,1.94,196.0,0.03,68.6
2015-03-03,28.71,71.33,1.92,232.7,0.54,67.24
2015-03-04,28.26,73.58,1.93,251.5,0.92,66.46
2015-03-05,28.49,71.4,2.01,136.7,0.1,61.97
2015-03-06,28.58,72.88,2.09,94.5,0.15,51.61
2015-03-07,28.69,71.76,2.25,84.6,0.05,47.29
2015-03-08,28.4,69.32,4.08,80.5,0.02,41.39
2015-03-09,28.39,71.94,3.53,87.5,0.16,56.69
2015-03-10,28.61,68.24,3.68,75.9,0.01,43.49
2015-03-11,28.12,69.11,5.08,60.8,0.0,37.85
2015-03-12,28.89,70.72,4.9,62.2,0.55,44.4
2015-03-13,28.56,73.61,4.37,61.1,3.41,56.12
2015-03-14,28.11,77.78,4.76,73.2,8.96,88.33
2015-03-15,27.99,78.28,3.52,93.6,3.19,48.75
2015-03-16,28.4,78.14,3.8,81.1,2.69,67.51
2015-03-17,28.79,75.01,3.02,72.8,0.62,35.64
2015-03-18,28.42,66.42,1.97,55.5,0.01,38.85
2015-03-19,28.37,66.45,1.99,131.0,0.0,21.02
2015-03-20,28.3,68.78,2.78,88.9,0.0,31.67
2015-03-21,28.54,72.33,3.89,78.2,0.3,31.48
2015-03-22,28.63,69.56,3.32,96.0,0.0,25.71
2015-03-23,28.73,71.29,2.16,175.1,0.0,26.03
2015-03-24,29.16,72.87,2.32,213.7,0.01,25.63
2015-03-25,28.75,72.58,2.49,160.4,0.01,32.06
2015-03-26,29.18,69.26,3.05,86.6,0.0,36.52
2015-03-27,29.54,72.25,4.09,63.2,1.81,54.02
2015-03-28,29.15,72.4,4.05,78.1,1.89,67.33
2015-03-29,29.13,74.27,3.37,92.7,2.8,56.45
2015-03-30,28.44,77.18,2.19,119.8,1.32,67.81
2015-03-31,29.08,71.11,1.24,118.8,0.78,94.39
2015-04-01,28.88,74.28,1.89,122.5,0.45,94.89
2015-04-02,28.65,74.99,2.11,180.5,1.95,89.75
2015-04-03,29.4,74.25,3.6,255.2,0.6,41.07
2015-04-04,29.75,76.01,3.76,265.1,1.76,48.36
2015-04-05,29.97,74.29,2.78,228.7,0.85,33.46
2015-04-06,29.61,73.48,2.64,218.5,0.13,54.82
2015-04-07,29.21,76.8,2.9,231.1,1.59,57.66
2015-04-08,28.26,74.99,3.39,90.2,4.74,98.21
2015-04-09,28.8,74.97,3.28,114.7,2.44,77.05
