Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,26.27,78.06,1.89,128.3,3.06,75.03
2015-01-02,26.25,73.35,1.6,148.7,0.02,33.99
2015-01-03,25.5,71.65,1.48,129.4,0.0,33.59
2015-01-04,26.09,72.86,1.74,99.4,0.0,29.86
2015-01-05,25.6,71.18,1.83,80.1,0.0,28.54
2015-01-06,25.38,71.09,1.61,69.2,0.0,32.63
2015-01-07,24.77,70.49,1.56,60.4,0.0,18.6
2015-01-08,25.11,71.37,1.3,98.4,0.0,32.68
2015-01-09,24.86,72.22,2.05,82.6,0.0,39.47
2015-01-10,23.68,63.36,1.95,54.9,0.0,29.13
2015-01-11,22.2,64.56,2.3,52.9,0.0,12.47
2015-01-12,22.32,64.0,2.0,53.0,0.0,11.04
2015-01-13,22.27,63.71,1.91,42.0,0.0,7.79
2015-01-14,22.5,63.69,1.73,60.2,0.0,15.12
2015-01-15,22.74,64.88,1.68,56.9,0.0,17.01
2015-01-16,24.34,70.96,1.88,68.8,0.02,24.6
2015-01-17,24.86,69.09,2.15,74.3,0.02,29.09
2015-01-18,24.46,67.26,2.12,66.9,0.0,21.94
2015-01-19,24.06,65.48,2.18,68.7,0.0,16.69
2015-01-20,23.75,66.79,1.92,75.3,0.0,25.62
2015-01-21,23.4,66.35,2.26,57.9,0.0,21.68
2015-01-22,23.83,68.08,1.95,70.2,0.01,20.66
2015-01-23,25.02,72.96,2.35,74.9,0.95,79.15
2015-01-24,25.46,70.37,2.68,75.0,0.2,54.12
2015-01-25,25.2,60.59,2.64,65.1,0.0,24.9
2015-01-26,24.01,67.39,2.48,67.0,0.0,26.39
2015-01-27,24.74,68.65,2.84,75.5,0.0,57.35
2015-01-28,25.5,67.45,2.41,72.7,0.0,69.88
2015-01-29,25.96,64.76,2.01,71.8,0.0,40.74
2015-01-30,26.03,62.23,2.22,71.6,0.0,52.06
2015-01-31,25.42,60.13,2.68,69.7,0.0,72.23
2015-02-01,25.01,64.56,2.37,71.4,0.0,34.64
2015-02-02,24.55,63.53,2.79,68.6,0.0,53.31
2015-02-03,24.74,64.39,3.0,60.9,0.0,40.71
2015-02-04,24.63,65.63,2.85,68.0,0.03,66.13
2015-02-05,25.73,60.39,2.64,70.4,0.03,69.93
2015-02-06,25.29,62.8,2.44,74.5,0.0,51.15
2015-02-07,25.44,57.68,2.18,67.1,0.0,24.96
2015-02-08,25.51,56.62,1.92,62.3,0.0,11.63
2015-02-09,25.26,59.76,2.36,69.6,0.0,29.73
2015-02-10,24.48,66.24,2.52,63.3,0.0,69.98
2015-02-11,26.77,61.57,2.49,70.4,0.0,48.5
2015-02-12,27.37,60.1,2.61,70.8,0.0,34.86
2015-02-13,27.62,56.31,1.89,74.2,0.0,30.25
2015-02-14,27.3,55.27,1.77,84.7,0.0,20.15
2015-02-15,27.09,52.69,1.86,86.9,0.0,8.45
2015-02-16,26.65,52.2,2.12,85.9,0.0,15.39
