Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,25.97,82.08,1.82,171.3,3.08,54.06
2015-01-02,25.08,76.53,1.34,150.3,0.0,30.25
2015-01-03,24.3,75.08,1.23,120.9,0.0,20.74
2015-01-04,24.9,79.61,1.32,84.5,0.0,33.51
2015-01-05,24.59,78.88,1.76,61.3,0.0,25.89
2015-01-06,24.46,77.93,1.6,53.1,0.0,26.52
2015-01-07,23.84,77.8,1.68,43.8,0.0,22.42
2015-01-08,24.23,77.66,1.47,73.0,0.0,35.85
2015-01-09,24.06,78.98,1.96,67.1,0.0,37.5
2015-01-10,23.32,72.12,2.42,44.2,0.0,36.06
2015-01-11,21.87,71.68,2.62,36.9,0.0,19.36
2015-01-12,21.75,69.75,2.31,37.5,0.0,30.47
2015-01-13,21.79,71.14,2.31,27.2,0.0,25.05
2015-01-14,22.35,72.3,1.97,46.2,0.0,24.41
2015-01-15,22.31,70.64,1.9,40.5,0.0,20.67
2015-01-16,23.71,76.72,2.03,52.2,0.0,22.56
2015-01-17,24.39,76.96,2.35,57.8,0.0,37.31
2015-01-18,24.01,74.22,2.26,46.7,0.0,25.98
2015-01-19,23.51,71.23,2.29,46.4,0.01,12.71
2015-01-20,23.03,73.48,2.03,50.6,0.0,21.96
2015-01-21,22.84,73.37,2.45,39.3,0.02,24.8
2015-01-22,23.65,74.14,2.29,41.6,0.14,33.15
2015-01-23,25.01,75.31,2.33,68.1,0.37,48.44
2015-01-24,24.92,74.75,2.51,59.7,0.13,50.48
2015-01-25,24.89,67.59,2.7,49.5,0.0,26.44
2015-01-26,24.02,71.63,2.64,44.1,0.0,22.59
2015-01-27,24.47,72.93,2.7,59.9,0.0,40.47
2015-01-28,25.14,72.72,2.49,56.1,0.0,71.89
2015-01-29,25.41,70.95,2.19,49.5,0.0,45.1
2015-01-30,25.39,70.41,2.09,57.2,0.0,48.49
2015-01-31,25.05,64.78,2.65,48.3,0.0,74.71
2015-02-01,24.57,70.02,2.39,50.6,0.0,39.2
2015-02-02,24.39,67.25,2.86,45.9,0.0,52.06
2015-02-03,24.77,67.97,3.3,40.8,0.0,48.48
2015-02-04,23.68,74.05,2.77,38.0,0.57,79.09
2015-02-05,25.18,69.1,2.82,48.3,0.16,75.95
2015-02-06,24.87,68.78,2.56,47.5,0.01,52.23
2015-02-07,24.96,66.62,2.3,45.5,0.05,23.19
2015-02-08,25.22,62.32,2.24,38.1,0.0,9.62
2015-02-09,25.34,65.58,2.45,49.6,0.0,44.51
2015-02-10,24.99,68.34,2.56,39.3,0.0,89.23
2015-02-11,26.21,67.38,2.57,44.5,0.0,42.55
2015-02-12,26.9,66.59,2.81,53.3,0.02,31.91
2015-02-13,27.07,65.8,2.3,56.0,0.01,34.07
2015-02-14,26.67,62.71,2.03,61.5,0.0,27.74
