Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,23.18,75.76,1.12,224.7,1.19,48.39
2015-01-02,22.14,71.31,1.3,219.3,0.01,40.89
2015-01-03,22.52,67.95,0.91,176.3,0.0,41.44
2015-01-04,22.68,68.37,1.0,133.8,0.0,42.35
2015-01-05,22.43,69.62,1.2,106.2,0.0,45.03
2015-01-06,22.14,69.63,1.03,109.4,0.0,56.82
2015-01-07,22.66,66.16,0.55,254.5,0.0,40.18
2015-01-08,22.15,71.3,0.9,134.1,0.0,54.34
2015-01-09,21.96,72.33,1.31,101.9,0.0,57.82
2015-01-10,21.34,62.88,1.23,75.7,0.0,44.13
2015-01-11,19.04,54.63,1.48,75.3,0.0,32.92
2015-01-12,19.28,59.55,1.14,78.8,0.0,31.84
2015-01-13,19.12,59.56,1.09,68.0,0.0,32.87
2015-01-14,19.23,60.35,1.1,100.6,0.0,29.56
2015-01-15,19.51,61.69,1.01,102.8,0.0,37.96
2015-01-16,20.48,65.19,1.22,106.5,0.0,34.5
2015-01-17,21.61,67.7,1.44,107.0,0.0,51.94
2015-01-18,21.64,66.69,1.27,98.4,0.0,45.16
2015-01-19,21.33,65.62,1.36,102.8,0.0,40.47
2015-01-20,21.13,66.17,1.31,103.7,0.0,53.05
2015-01-21,20.71,65.79,1.36,93.1,0.0,60.64
2015-01-22,20.19,58.53,1.34,95.4,0.01,41.79
2015-01-23,21.65,68.24,1.57,105.8,0.02,47.28
2015-01-24,22.48,69.88,1.8,100.4,0.05,52.43
2015-01-25,22.59,61.05,1.79,93.4,0.0,49.42
2015-01-26,20.89,60.04,1.7,91.0,0.0,26.58
2015-01-27,21.73,64.16,2.14,97.4,0.0,28.05
2015-01-28,22.58,65.73,1.59,99.3,0.0,53.9
2015-01-29,23.39,64.09,1.28,107.2,0.0,54.67
2015-01-30,23.25,64.38,1.69,99.9,0.0,80.19
2015-01-31,22.61,57.48,1.84,89.0,0.0,50.18
2015-02-01,22.23,59.81,1.53,94.9,0.0,30.36
2015-02-02,21.84,57.73,2.34,88.9,0.0,47.29
2015-02-03,21.41,57.46,2.34,88.4,0.0,29.55
2015-02-04,22.0,58.26,2.33,92.1,0.0,35.52
2015-02-05,22.82,55.68,1.75,94.4,0.0,53.38
2015-02-06,22.86,51.48,1.68,95.3,0.0,41.33
2015-02-07,22.96,53.5,1.45,94.1,0.01,37.88
2015-02-08,22.85,52.62,1.06,85.4,0.0,34.66
2015-02-09,22.67,50.22,2.07,94.7,0.0,28.08
2015-02-10,22.26,53.75,1.71,87.6,0.0,31.6
2015-02-11,23.6,52.72,1.22,86.5,0.0,33.66
2015-02-12,24.39,56.32,1.47,92.1,0.01,33.7
2015-02-13,24.64,53.51,1.3,99.3,0.04,40.91
2015-02-14,24.74,46.5,1.07,100.7,0.01,32.75
2015-02-15,24.12,46.08,1.32,92.8,0.0,31.46
2015-02-16,23.1,47.73,1.56,97.2,0.0,24.87
2015-02-17,23.49,42.74,1.19,89.4,0.0,31.99
2015-02-18,23.32,39.87,1.24,113.3,0.0,49.68
2015-02-19,23.66,43.24,1.28,108.3,0.0,52.03
