Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,25.31,79.2,1.91,124.6,2.83,73.4
2015-01-02,25.9,73.74,1.67,154.9,0.05,52.63
2015-01-03,25.26,70.82,1.46,134.4,0.0,34.51
2015-01-04,25.7,71.96,1.56,96.5,0.0,35.04
2015-01-05,25.24,69.63,1.74,76.9,0.0,23.18
2015-01-06,24.8,69.62,1.53,66.1,0.0,32.69
2015-01-07,24.28,69.2,1.46,56.4,0.0,19.82
2015-01-08,24.72,70.15,1.09,103.3,0.0,37.51
2015-01-09,24.29,71.6,1.81,76.7,0.0,58.05
2015-01-10,22.81,61.75,1.78,50.4,0.0,15.13
2015-01-11,21.26,63.51,2.19,53.7,0.0,18.4
2015-01-12,21.49,63.88,1.97,55.0,0.0,9.76
2015-01-13,21.48,62.15,1.87,46.2,0.0,8.79
2015-01-14,21.6,61.45,1.66,61.6,0.0,17.1
2015-01-15,22.04,64.77,1.59,58.0,0.0,8.48
2015-01-16,23.77,69.59,1.74,71.0,0.02,31.07
2015-01-17,24.22,67.33,2.04,73.4,0.02,31.41
2015-01-18,23.84,65.5,2.02,67.1,0.0,18.6
2015-01-19,23.53,64.3,2.13,68.2,0.0,8.92
2015-01-20,23.32,65.54,1.85,74.8,0.0,6.98
2015-01-21,23.02,64.15,2.29,58.3,0.0,18.22
2015-01-22,23.35,65.39,1.96,74.1,0.0,13.01
2015-01-23,24.61,70.45,2.35,76.1,0.78,74.76
2015-01-24,25.06,69.1,2.69,75.4,0.15,64.52
2015-01-25,24.64,58.31,2.66,63.0,0.0,17.82
2015-01-26,23.47,65.63,2.54,69.9,0.0,29.91
2015-01-27,24.23,67.37,2.82,76.6,0.0,51.09
2015-01-28,25.02,65.13,2.36,73.4,0.0,60.97
2015-01-29,25.56,63.21,2.1,73.4,0.0,50.21
2015-01-30,25.49,60.48,2.36,69.0,0.0,67.13
2015-01-31,24.99,59.36,2.75,68.7,0.0,41.07
2015-02-01,24.62,62.54,2.39,70.6,0.0,24.91
2015-02-02,24.3,61.89,2.91,70.6,0.0,41.19
2015-02-03,24.2,62.35,3.03,62.3,0.0,41.94
2015-02-04,24.47,62.3,3.06,67.0,0.0,67.75
