Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,25.0,88.47,2.18,138.0,1.79,56.49
2015-01-02,25.08,87.09,1.89,152.5,0.07,26.55
2015-01-03,25.15,86.97,1.61,120.9,0.07,27.02
2015-01-04,24.9,85.96,1.76,66.0,0.0,28.1
2015-01-05,24.68,85.53,2.21,48.6,0.0,23.22
2015-01-06,24.35,83.96,2.21,45.4,0.0,22.97
2015-01-07,23.9,83.91,2.3,44.7,0.0,20.38
2015-01-08,24.33,83.24,1.65,65.7,0.0,31.91
2015-01-09,23.96,83.39,2.28,55.3,0.01,37.57
2015-01-10,23.04,77.76,2.91,36.9,0.0,29.65
2015-01-11,22.41,77.16,3.1,33.5,0.0,30.01
2015-01-12,22.52,74.53,3.05,33.1,0.0,37.72
2015-01-13,22.59,77.9,2.92,25.9,0.0,38.27
2015-01-14,22.77,74.01,2.63,34.2,0.0,25.02
2015-01-15,22.83,76.33,2.26,36.9,0.0,22.96
2015-01-16,24.24,82.02,2.75,45.7,0.87,30.69
2015-01-17,24.46,81.63,2.95,47.6,0.43,36.5
2015-01-18,23.78,78.94,2.93,43.9,0.0,28.83
2015-01-19,23.36,76.6,2.88,42.5,0.0,35.94
2015-01-20,23.3,77.83,2.67,45.1,0.0,26.0
2015-01-21,23.13,78.1,2.9,37.8,0.0,25.72
2015-01-22,23.85,81.92,3.35,28.9,0.27,52.44
2015-01-23,24.99,81.59,2.97,53.7,3.84,85.85
2015-01-24,25.09,80.25,3.28,51.1,0.51,52.44
2015-01-25,24.38,73.73,3.19,39.4,0.04,25.89
2015-01-26,24.3,76.88,3.23,48.5,0.29,43.76
2015-01-27,24.77,76.53,3.22,53.4,0.05,54.35
2015-01-28,24.98,77.28,3.09,51.1,0.04,56.63
2015-01-29,25.32,75.8,2.92,49.0,0.08,53.55
2015-01-30,25.27,73.71,2.88,51.8,0.0,56.67
2015-01-31,24.66,73.64,3.22,45.4,0.0,62.22
2015-02-01,24.78,75.63,3.23,49.8,0.05,30.73
2015-02-02,24.49,72.99,3.66,50.7,0.02,49.68
2015-02-03,25.13,72.08,4.01,38.4,0.07,54.94
2015-02-04,24.63,75.96,3.63,37.9,0.19,87.01
2015-02-05,25.29,73.68,3.44,42.5,0.16,58.41
2015-02-06,25.0,74.43,2.94,47.2,0.03,59.13
2015-02-07,25.11,70.67,2.96,48.5,0.05,40.32
2015-02-08,25.31,69.75,2.76,49.9,0.01,21.23
2015-02-09,25.12,70.96,3.03,51.1,0.05,42.68
2015-02-10,24.98,75.18,3.25,41.5,0.29,91.63
2015-02-11,25.88,76.8,3.3,39.1,0.21,49.51
2015-02-12,26.38,74.07,3.46,49.5,0.04,28.88
2015-02-13,26.7,72.84,2.76,53.9,0.01,25.46
2015-02-14,25.92,70.94,2.32,67.3,0.0,24.66
2015-02-15,25.81,67.72,2.12,75.8,0.0,15.2
2015-02-16,25.78,68.83,2.16,73.6,0.0,16.45
2015-02-17,25.56,65.72,1.93,79.2,0.0,30.95
2015-02-18,25.37,65.65,1.99,96.2,0.0,92.49
2015-02-19,25.64,63.21,1.96,86.6,0.0,43.42
2015-02-20,25.5,66.91,2.8,73.9,0.0,19.64
2015-02-21,25.95,68.17,3.16,60.7,0.0,18.26
2015-02-22,25.95,67.53,3.31,54.3,0.0,19.72
2015-02-23,25.9,64.42,2.93,59.9,0.0,15.98
2015-02-24,26.08,65.59,2.81,63.4,0.05,36.65
2015-02-25,27.3,69.87,2.57,76.3,0.1,81.54
2015-02-26,28.02,69.22,2.12,90.4,0.62,35.45
2015-02-27,28.9,66.41,1.73,114.7,0.25,37.79
2015-02-28,28.63,67.99,2.48,120.3,0.15,24.77
2015-03-01,28.79,66.1,2.87,129.9,0.05,24.38
2015-03-02,29.02,65.93,2.54,113.2,0.02,28.27
2015-03-03,28.94,63.19,2.27,93.7,0.0,19.95
2015-03-04,29.39,60.19,1.98,138.5,0.03,22.26
2015-03-05,29.13,69.14,2.43,115.1,0.16,25.22
2015-03-06,29.44,66.09,2.44,85.8,0.07,22.1
2015-03-07,29.18,63.43,2.7,82.4,0.1,27.26
2015-03-08,28.49,65.93,2.59,93.7,0.04,23.11
2015-03-09,28.46,65.23,2.7,74.6,0.02,26.54
2015-03-10,27.62,60.83,3.14,57.5,0.0,26.73
2015-03-11,27.79,62.35,3.04,61.8,0.01,24.09
2015-03-12,28.61,63.99,3.5,63.5,0.19,34.56
2015-03-13,28.66,62.86,3.33,79.1,0.15,40.93
2015-03-14,28.69,64.29,2.95,92.0,1.36,60.43
2015-03-15,28.64,68.36,2.67,93.9,0.75,78.67
2015-03-16,28.81,64.64,2.86,91.6,0.34,54.41
2015-03-17,28.28,61.4,2.19,82.8,0.1,46.7
2015-03-18,28.7,56.06,1.81,110.2,0.0,52.6
2015-03-19,28.8,57.33,2.08,102.8,0.0,27.06
2015-03-20,28.65,64.85,2.49,83.2,0.02,20.72
2015-03-21,29.0,59.94,2.53,84.4,0.1,15.5
2015-03-22,29.72,59.08,2.06,97.9,0.0,13.79
2015-03-23,30.16,60.35,1.98,138.3,0.0,14.78
2015-03-24,29.88,62.58,2.47,134.6,0.0,15.47
2015-03-25,29.62,61.72,2.69,125.5,0.0,20.91
2015-03-26,29.38,62.87,2.58,83.6,0.02,25.9
2015-03-27,29.55,62.29,3.08,66.9,0.03,24.95
2015-03-28,29.47,66.39,2.83,74.5,0.13,23.8
2015-03-29,29.89,64.26,2.72,92.5,0.11,28.73
2015-03-30,30.25,63.41,2.61,107.9,0.06,41.81
2015-03-31,29.99,66.76,2.38,93.7,0.4,81.14
2015-04-01,30.61,62.8,2.32,117.3,0.7,62.63
2015-04-02,31.34,60.54,2.44,157.0,0.34,87.72
2015-04-03,32.53,56.63,2.61,167.1,0.14,33.8
2015-04-04,32.44,58.01,2.86,149.0,0.35,43.24
2015-04-05,32.19,59.38,3.19,153.7,0.21,15.72
2015-04-06,31.66,59.21,3.03,143.2,0.09,15.41
2015-04-07,30.6,64.7,2.47,142.2,0.23,48.37
2015-04-08,29.76,68.45,1.95,142.6,0.92,78.14
2015-04-09,29.44,69.29,2.25,113.4,0.89,71.08
2015-04-10,30.63,65.42,2.44,121.7,0.37,34.85
2015-04-11,31.1,61.79,2.59,143.1,0.61,25.42
2015-04-12,29.68,67.67,2.06,129.7,3.46,62.28
2015-04-13,28.61,70.22,2.43,109.2,7.63,92.71
2015-04-14,28.86,67.24,1.74,111.2,9.65,43.84
2015-04-15,28.2,73.72,2.45,99.2,13.18,62.82
2015-04-16,27.99,75.18,1.76,61.7,8.33,76.9
2015-04-17,28.87,71.87,1.94,29.1,11.29,36.0
2015-04-18,29.04,70.69,1.44,76.2,5.78,34.19
2015-04-19,30.21,65.19,1.69,86.7,0.06,63.52
2015-04-20,30.08,65.19,2.12,102.5,0.53,80.15
2015-04-21,28.85,72.89,1.64,126.2,1.43,74.2
2015-04-22,28.42,76.3,1.65,187.4,1.11,55.41
2015-04-23,30.09,70.74,2.82,196.3,0.64,32.72
2015-04-24,30.19,71.05,2.44,171.0,7.55,66.1
2015-04-25,29.23,66.03,2.08,220.1,6.42,77.14
2015-04-26,29.95,63.95,2.22,135.5,1.14,51.07
2015-04-27,29.78,67.72,2.14,121.9,1.24,49.35
