Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,26.06,85.31,2.28,218.9,1.0,23.35
2015-01-02,24.92,79.03,1.69,233.9,0.0,16.74
2015-01-03,24.96,78.55,1.25,81.8,0.0,25.68
2015-01-04,25.37,82.66,1.76,66.1,0.0,24.17
2015-01-05,25.32,85.39,2.43,52.2,0.0,19.87
2015-01-06,25.21,83.07,2.33,43.5,0.0,24.31
2015-01-07,24.59,82.21,2.33,45.8,0.0,33.14
2015-01-08,24.92,81.92,2.03,56.3,0.0,37.53
2015-01-09,25.02,82.62,2.5,59.0,0.0,35.74
2015-01-10,24.54,79.83,3.44,48.0,0.0,38.69
2015-01-11,23.38,78.02,3.71,37.9,0.0,22.2
2015-01-12,23.26,76.0,3.34,37.2,0.0,26.11
2015-01-13,23.39,76.03,3.36,35.0,0.0,13.28
2015-01-14,23.92,78.47,2.91,44.9,0.0,31.74
2015-01-15,23.92,75.69,2.75,43.8,0.0,31.31
2015-01-16,24.58,81.21,2.69,48.5,0.0,22.96
2015-01-17,25.45,81.89,3.55,48.5,0.01,40.8
2015-01-18,25.3,78.96,3.59,44.9,0.0,30.06
2015-01-19,24.74,75.03,3.41,46.0,0.0,27.96
2015-01-20,24.37,77.36,3.16,45.0,0.0,25.17
2015-01-21,24.49,76.57,3.64,43.1,0.02,32.61
2015-01-22,24.91,77.11,3.1,38.5,0.22,14.71
2015-01-23,25.94,77.75,2.8,57.6,0.02,30.13
2015-01-24,25.98,77.36,3.46,48.5,0.01,51.46
2015-01-25,26.06,73.77,4.01,50.8,0.0,49.81
2015-01-26,25.45,74.36,3.9,43.8,0.01,22.29
2015-01-27,25.59,74.86,3.54,52.9,0.0,35.85
2015-01-28,26.01,76.6,3.63,50.9,0.01,59.56
2015-01-29,26.46,74.92,2.96,44.7,0.02,67.74
2015-01-30,26.49,73.91,2.9,55.8,0.0,54.88
2015-01-31,26.23,69.2,3.73,50.8,0.0,35.93
2015-02-01,25.99,71.64,3.64,49.4,0.0,16.93
2015-02-02,26.01,70.02,4.21,44.8,0.01,67.04
2015-02-03,26.22,69.95,4.64,38.5,0.03,63.32
2015-02-04,25.12,76.95,4.1,31.9,1.02,89.27
2015-02-05,25.96,74.9,4.17,43.1,0.25,70.45
2015-02-06,26.01,73.85,3.68,42.2,0.03,63.03
2015-02-07,26.36,72.1,3.41,46.2,0.05,34.28
2015-02-08,26.69,67.63,3.29,48.1,0.0,18.09
2015-02-09,26.84,71.29,3.51,51.5,0.04,63.56
2015-02-10,26.65,71.92,3.68,43.1,0.11,96.68
2015-02-11,27.17,71.78,3.71,43.1,0.03,38.83
2015-02-12,27.92,70.84,3.97,52.0,0.01,30.35
2015-02-13,27.92,71.16,3.16,55.2,0.01,27.67
2015-02-14,27.84,66.37,2.92,62.7,0.0,28.88
2015-02-15,27.32,63.36,3.04,60.1,0.0,17.68
2015-02-16,27.05,61.32,3.04,69.5,0.0,29.15
2015-02-17,26.89,59.73,2.51,67.2,0.0,75.42
2015-02-18,26.77,56.41,2.48,81.4,0.0,93.74
2015-02-19,27.06,56.87,2.56,76.3,0.0,38.94
2015-02-20,26.91,59.66,3.4,65.5,0.0,14.13
2015-02-21,27.14,65.2,3.82,55.4,0.0,18.35
2015-02-22,27.14,61.94,3.82,51.6,0.0,28.33
2015-02-23,27.31,62.19,3.67,52.1,0.0,31.68
2015-02-24,27.83,65.66,3.15,57.4,0.03,79.76
2015-02-25,28.55,67.12,2.71,76.1,0.1,54.37
2015-02-26,28.82,68.47,1.88,103.2,4.24,24.51
2015-02-27,28.65,70.58,1.61,143.4,1.32,40.94
2015-02-28,28.66,69.64,2.16,129.5,0.35,36.78
2015-03-01,28.88,67.33,2.05,121.9,0.04,22.81
2015-03-02,29.33,67.11,2.16,127.4,0.07,42.31
2015-03-03,29.21,65.18,2.17,110.5,0.11,37.45
2015-03-04,29.75,59.44,1.65,157.6,0.0,38.46
2015-03-05,29.73,62.98,2.15,116.8,0.02,30.84
2015-03-06,29.74,64.66,2.25,98.1,0.19,19.48
2015-03-07,29.67,63.04,2.73,80.7,0.33,18.46
2015-03-08,29.03,63.01,2.94,85.1,0.16,22.0
2015-03-09,29.32,63.21,2.9,80.5,0.02,19.28
2015-03-10,29.06,59.48,3.26,65.1,0.0,25.11
2015-03-11,28.37,63.1,3.48,62.5,0.0,40.84
2015-03-12,29.33,63.86,4.04,58.9,0.07,41.5
2015-03-13,29.45,64.07,3.73,65.6,0.14,62.07
2015-03-14,28.85,67.4,3.39,72.3,4.67,74.11
2015-03-15,28.85,71.54,3.06,96.9,3.62,46.83
2015-03-16,28.55,74.25,3.11,83.6,5.13,45.37
2015-03-17,28.81,66.94,2.71,62.5,0.27,26.36
2015-03-18,27.34,64.05,1.73,85.2,0.0,24.67
2015-03-19,28.38,57.98,1.9,100.4,0.0,15.55
2015-03-20,28.68,62.01,2.3,78.5,0.0,14.06
2015-03-21,29.2,63.93,2.88,72.0,0.02,18.98
