Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,25.6,82.7,2.53,137.2,3.02,75.03
2015-01-02,25.75,79.47,1.69,143.4,0.06,33.99
2015-01-03,25.35,77.51,1.49,126.6,0.0,33.59
2015-01-04,25.55,77.59,1.89,80.7,0.0,29.86
2015-01-05,25.13,76.68,2.23,64.4,0.0,28.54
2015-01-06,24.88,75.65,2.15,57.6,0.0,32.63
2015-01-07,24.36,74.83,2.07,54.1,0.0,18.6
2015-01-08,24.61,76.15,1.59,79.0,0.0,32.68
2015-01-09,24.17,77.1,2.23,66.8,0.0,39.47
2015-01-10,23.16,68.85,2.53,46.5,0.0,29.13
2015-01-11,21.97,71.12,2.72,44.7,0.0,12.47
2015-01-12,22.11,69.38,2.63,45.2,0.0,11.04
2015-01-13,22.25,70.01,2.48,38.3,0.0,7.79
2015-01-14,22.6,66.31,2.34,50.8,0.0,15.12
2015-01-15,22.67,68.58,2.15,49.2,0.0,17.01
2015-01-16,24.18,75.41,2.4,57.4,0.31,24.6
2015-01-17,24.52,74.36,2.73,58.7,0.22,29.09
2015-01-18,23.92,72.12,2.69,53.6,0.0,21.94
2015-01-19,23.49,70.31,2.67,52.7,0.0,16.69
2015-01-20,23.35,71.18,2.43,57.8,0.0,25.62
2015-01-21,23.01,71.15,2.72,45.4,0.0,21.68
2015-01-22,23.67,74.28,2.63,47.6,0.01,20.66
2015-01-23,24.94,76.56,2.78,61.7,2.84,79.15
2015-01-24,25.06,75.21,2.99,60.4,0.31,54.12
2015-01-25,24.55,66.5,3.03,50.0,0.02,24.9
2015-01-26,23.86,71.99,2.98,55.3,0.0,26.39
2015-01-27,24.44,72.83,3.12,61.4,0.0,57.35
2015-01-28,25.1,72.0,2.86,59.3,0.0,69.88
2015-01-29,25.57,69.21,2.65,57.5,0.0,40.74
2015-01-30,25.52,67.48,2.8,58.7,0.0,52.06
2015-01-31,24.82,66.61,3.11,54.4,0.0,72.23
2015-02-01,24.66,70.61,2.95,57.9,0.0,34.64
2015-02-02,24.16,68.99,3.21,56.7,0.0,53.31
2015-02-03,24.59,68.42,3.5,45.3,0.01,40.71
2015-02-04,24.3,70.69,3.29,49.3,0.14,66.13
2015-02-05,25.31,66.22,3.16,53.7,0.05,69.93
2015-02-06,24.78,69.25,2.79,57.2,0.0,51.15
2015-02-07,24.88,65.07,2.77,54.8,0.0,24.96
2015-02-08,25.13,63.94,2.59,53.6,0.0,11.63
2015-02-09,24.88,65.74,2.88,57.6,0.0,29.73
2015-02-10,24.36,70.53,3.05,48.3,0.0,69.98
2015-02-11,25.87,70.4,3.03,50.6,0.0,48.5
2015-02-12,26.69,67.2,3.26,59.1,0.0,34.86
2015-02-13,27.17,62.94,2.62,59.8,0.0,30.25
2015-02-14,26.62,61.98,2.25,72.1,0.0,20.15
2015-02-15,26.06,60.81,2.3,75.9,0.0,8.45
2015-02-16,25.94,61.39,2.27,74.0,0.0,15.39
2015-02-17,25.81,58.77,1.89,79.7,0.0,32.95
2015-02-18,25.61,56.87,2.04,92.3,0.0,95.93
2015-02-19,25.82,56.78,2.07,82.2,0.0,26.25
2015-02-20,25.31,61.32,2.68,72.9,0.0,7.5
2015-02-21,25.77,61.92,3.01,66.3,0.0,15.84
2015-02-22,25.83,61.06,3.16,59.9,0.0,10.24
2015-02-23,25.74,57.61,2.85,66.1,0.0,8.74
2015-02-24,26.03,57.32,2.68,70.4,0.0,28.39
2015-02-25,27.51,61.14,2.5,79.6,0.0,49.07
2015-02-26,28.67,61.32,1.96,97.0,0.28,35.97
2015-02-27,29.33,60.32,1.66,129.5,0.26,59.75
2015-02-28,29.09,62.24,2.59,128.3,0.04,46.03
2015-03-01,29.1,61.34,3.05,135.7,0.01,37.06
2015-03-02,29.52,61.08,2.35,123.9,0.03,42.8
2015-03-03,29.56,57.43,2.37,100.9,0.14,44.74
2015-03-04,29.81,52.64,1.62,140.7,0.09,47.43
2015-03-05,29.68,61.52,2.51,114.5,0.14,45.53
2015-03-06,30.12,57.94,2.45,91.4,0.22,26.22
2015-03-07,29.59,58.06,2.69,84.9,0.88,40.17
2015-03-08,28.8,58.98,2.71,94.3,0.0,37.34
2015-03-09,28.74,60.06,2.69,81.0,0.0,35.58
2015-03-10,27.95,56.7,3.01,62.1,0.0,21.24
2015-03-11,27.58,60.41,3.0,69.4,0.0,22.7
2015-03-12,28.67,59.9,3.54,68.0,0.0,41.34
2015-03-13,28.88,58.41,3.46,82.2,0.01,35.19
2015-03-14,28.5,61.03,2.87,95.8,1.35,71.23
2015-03-15,28.36,64.98,2.65,97.8,1.0,82.77
2015-03-16,29.1,59.29,2.91,91.8,0.81,72.32
2015-03-17,28.6,55.35,2.11,89.5,0.48,44.18
2015-03-18,28.83,49.27,1.73,115.3,0.0,45.44
2015-03-19,29.18,47.6,1.94,107.1,0.0,8.03
2015-03-20,28.77,58.43,2.39,84.8,0.0,16.29
2015-03-21,29.08,53.83,2.57,86.5,0.0,8.55
2015-03-22,29.79,53.12,2.08,95.9,0.0,8.45
2015-03-23,30.46,50.99,1.77,128.4,0.0,11.86
2015-03-24,30.46,53.86,2.4,127.8,0.0,8.88
2015-03-25,29.91,54.53,2.53,121.9,0.0,20.6
2015-03-26,29.43,56.14,2.54,86.0,0.0,29.76
2015-03-27,29.74,55.53,2.96,71.1,0.0,30.29
2015-03-28,29.74,58.44,2.64,81.2,0.02,41.22
2015-03-29,30.51,55.83,2.71,95.5,0.04,40.27
2015-03-30,30.84,55.3,2.72,109.5,0.01,51.83
2015-03-31,30.36,59.26,2.26,96.7,0.14,77.27
2015-04-01,31.21,55.27,2.42,122.5,1.44,68.86
2015-04-02,31.56,55.49,2.14,164.4,0.39,77.63
2015-04-03,32.81,51.07,1.92,185.6,0.77,39.62
2015-04-04,32.52,53.33,2.33,146.2,0.48,42.03
2015-04-05,32.49,53.1,3.06,150.4,0.0,8.0
2015-04-06,31.91,54.3,2.73,145.9,0.0,29.57
2015-04-07,30.81,57.42,2.46,138.7,0.0,38.86
2015-04-08,29.77,60.92,1.64,149.8,0.02,91.41
2015-04-09,29.88,60.08,2.38,117.3,0.19,63.87
2015-04-10,30.76,59.72,2.18,130.6,0.99,41.39
2015-04-11,31.3,56.5,2.33,150.0,1.85,28.0
2015-04-12,29.25,64.28,1.88,131.4,4.53,64.5
2015-04-13,27.58,72.17,2.04,116.9,12.75,88.54
2015-04-14,28.21,67.27,1.44,123.4,4.89,40.76
2015-04-15,27.6,74.38,2.35,109.5,10.92,60.43
2015-04-16,27.06,78.21,1.59,68.7,14.1,69.55
2015-04-17,28.04,73.06,1.28,11.1,16.2,47.89
2015-04-18,28.68,69.8,1.24,78.4,7.84,39.32
2015-04-19,29.51,66.24,1.46,89.8,0.02,59.49
2015-04-20,29.73,64.93,1.98,102.3,0.23,92.09
2015-04-21,28.02,72.55,1.52,113.1,0.45,94.7
2015-04-22,27.52,76.34,1.38,181.8,0.18,78.76
2015-04-23,29.56,68.1,1.83,210.2,2.21,40.42
2015-04-24,29.14,71.93,1.57,175.6,14.56,80.69
2015-04-25,28.2,69.1,1.45,222.7,11.06,78.26
2015-04-26,28.94,64.54,1.7,134.2,2.83,45.93
2015-04-27,28.94,68.59,1.68,116.3,1.44,71.01
2015-04-28,29.71,65.41,1.36,142.1,0.07,17.16
2015-04-29,30.34,63.58,2.13,155.3,0.32,15.92
2015-04-30,30.29,65.55,1.66,192.8,0.47,22.44
2015-05-01,29.76,67.14,1.87,198.1,0.05,42.54
2015-05-02,30.12,65.29,1.93,226.0,0.08,28.86
2015-05-03,30.1,66.3,1.46,203.1,0.05,46.85
2015-05-04,29.0,72.64,1.85,134.2,1.66,54.96
2015-05-05,29.42,66.98,1.37,129.7,1.25,68.68
2015-05-06,28.9,70.59,1.34,144.1,1.23,58.13
2015-05-07,28.69,72.85,1.75,174.2,2.42,72.91
2015-05-08,29.07,72.78,1.6,260.0,2.7,61.23
2015-05-09,28.98,73.81,1.56,236.4,3.06,74.46
2015-05-10,29.79,64.82,1.9,144.1,1.73,90.33
2015-05-11,28.24,65.34,1.36,103.1,6.57,99.16
2015-05-12,28.87,64.07,1.43,85.8,7.68,98.18
2015-05-13,26.4,82.5,1.59,30.4,23.51,90.55
2015-05-14,27.4,77.21,1.31,294.9,21.83,94.45
2015-05-15,27.37,83.89,0.87,133.0,13.26,92.3
2015-05-16,26.63,89.73,1.58,185.0,12.75,93.74
2015-05-17,26.28,87.89,2.58,189.1,3.42,89.86
2015-05-18,28.56,73.49,2.57,251.9,0.8,69.17
2015-05-19,28.7,74.65,2.57,231.4,0.05,58.96
2015-05-20,29.38,71.74,2.8,236.0,0.01,50.65
2015-05-21,29.95,67.56,3.78,253.7,0.0,24.45
2015-05-22,29.99,68.52,2.8,238.7,0.0,72.22
2015-05-23,29.54,69.3,3.21,248.1,0.0,45.73
2015-05-24,29.97,64.9,3.47,252.6,0.02,50.23
2015-05-25,30.59,65.53,2.63,268.8,0.0,29.58
2015-05-26,30.18,66.48,3.03,261.1,0.01,60.34
2015-05-27,26.81,76.0,3.36,281.2,13.82,75.85
2015-05-28,27.91,63.94,3.53,289.4,8.69,78.56
2015-05-29,29.13,69.29,2.5,262.2,1.7,42.55
2015-05-30,29.73,72.14,2.36,247.1,1.3,43.41
2015-05-31,29.51,72.31,2.21,228.0,3.08,45.08
2015-06-01,28.85,72.94,2.65,262.8,2.44,80.69
2015-06-02,28.33,73.92,2.15,278.9,2.83,71.36
2015-06-03,28.72,74.09,1.56,254.2,0.52,85.94
2015-06-04,28.72,75.64,1.13,201.4,7.91,86.22
2015-06-05,26.84,87.47,1.33,224.9,31.94,86.74
2015-06-06,28.3,75.48,0.97,208.1,1.03,83.45
2015-06-07,29.02,71.06,2.37,241.2,0.0,49.04
2015-06-08,28.4,69.34,2.88,250.8,0.45,43.63
2015-06-09,28.09,72.56,2.46,271.1,0.62,65.73
2015-06-10,27.29,77.84,2.29,261.5,2.14,64.54
2015-06-11,28.14,75.7,2.87,264.7,8.34,84.17
2015-06-12,27.25,75.11,3.36,265.4,0.13,91.91
2015-06-13,28.02,72.81,3.13,260.0,11.38,70.47
2015-06-14,28.49,68.01,3.56,271.4,0.16,37.79
2015-06-15,28.43,64.35,4.02,275.6,0.01,67.88
2015-06-16,27.13,67.85,3.63,266.7,0.75,90.33
2015-06-17,26.94,71.03,4.05,263.9,0.71,98.19
2015-06-18,27.88,68.12,3.97,276.3,1.33,99.45
2015-06-19,27.75,70.66,4.4,270.8,3.16,98.29
2015-06-20,28.61,68.89,4.67,260.3,0.16,92.61
2015-06-21,28.07,68.99,4.87,252.0,0.31,77.21
2015-06-22,29.1,66.7,4.65,254.6,0.0,64.68
2015-06-23,28.16,73.12,3.39,241.0,1.17,50.68
2015-06-24,28.71,69.67,3.68,247.9,0.06,31.5
2015-06-25,28.8,70.63,4.07,251.9,0.02,36.17
2015-06-26,28.16,65.61,5.47,260.7,0.08,78.4
2015-06-27,28.97,62.89,4.68,259.9,0.15,84.02
2015-06-28,29.61,66.64,3.54,267.9,0.18,39.62
2015-06-29,28.8,68.69,3.79,253.4,1.23,53.31
2015-06-30,29.85,58.88,3.36,268.5,1.96,57.03
2015-07-01,29.32,66.49,3.06,247.1,0.45,26.98
2015-07-02,29.69,63.32,3.46,268.8,0.0,26.28
2015-07-03,30.31,62.52,3.59,263.4,0.15,25.14
2015-07-04,29.91,64.99,3.94,271.0,0.04,27.42
2015-07-05,30.55,61.35,4.19,273.5,0.0,28.33
2015-07-06,30.29,58.0,5.2,273.2,0.0,50.22
2015-07-07,28.93,61.04,4.91,271.0,0.0,72.64
2015-07-08,30.03,59.92,4.57,265.3,0.03,63.6
2015-07-09,30.62,59.22,4.37,268.7,0.01,62.68
2015-07-10,28.95,67.17,4.21,271.0,0.05,98.11
2015-07-11,29.64,64.39,4.52,262.8,0.29,87.12
2015-07-12,30.08,60.3,3.07,276.2,0.36,32.4
2015-07-13,30.47,58.97,3.55,275.6,0.42,13.78
2015-07-14,30.77,58.85,3.42,273.5,0.04,60.7
2015-07-15,29.76,64.24,3.53,278.3,0.0,76.52
2015-07-16,29.8,60.86,4.06,269.5,0.14,82.74
2015-07-17,28.77,62.61,5.51,265.5,0.2,87.63
2015-07-18,29.04,60.77,5.2,272.3,0.44,97.34
2015-07-19,27.24,64.78,5.19,268.3,0.27,88.09
2015-07-20,28.99,62.04,4.51,265.8,0.02,77.97
2015-07-21,29.01,65.97,3.96,267.8,4.49,83.65
2015-07-22,28.69,67.54,3.73,264.7,0.85,93.99
2015-07-23,28.68,64.45,3.02,250.5,2.55,79.11
2015-07-24,28.57,64.43,3.44,252.5,0.67,73.18
2015-07-25,28.29,64.0,3.51,259.9,2.83,55.55
2015-07-26,28.59,60.81,3.44,260.8,0.31,86.12
2015-07-27,29.13,59.34,2.96,275.9,1.8,85.58
2015-07-28,29.83,59.57,2.48,260.1,1.73,78.68
2015-07-29,28.93,63.72,2.54,246.8,1.0,76.01
2015-07-30,29.68,58.56,2.75,255.2,0.0,74.24
2015-07-31,30.63,55.27,2.81,268.0,0.1,55.12
2015-08-01,29.98,59.23,2.09,297.7,0.46,81.24
2015-08-02,29.44,59.57,2.46,277.3,0.59,93.71
2015-08-03,28.55,66.49,3.09,269.5,5.77,71.88
2015-08-04,29.5,62.46,3.37,264.9,0.26,68.27
2015-08-05,29.06,56.62,4.02,263.6,0.12,60.26
2015-08-06,30.27,54.2,4.33,268.3,0.11,35.57
2015-08-07,30.64,56.22,4.37,264.6,0.29,61.18
2015-08-08,30.6,56.48,3.62,270.9,0.0,47.06
2015-08-09,30.55,56.45,4.4,268.3,0.09,62.4
2015-08-10,30.04,59.33,4.22,262.7,1.05,82.46
2015-08-11,29.5,61.28,3.62,277.2,0.28,86.07
2015-08-12,29.95,59.0,4.04,264.3,0.06,90.55
2015-08-13,30.26,57.98,3.89,270.6,0.19,79.42
2015-08-14,31.03,54.88,3.22,276.8,0.62,58.72
2015-08-15,31.54,55.54,2.33,277.2,1.38,66.55
2015-08-16,27.33,80.42,2.1,266.8,36.69,75.84
2015-08-17,28.21,73.59,1.77,180.7,10.62,30.95
2015-08-18,28.38,73.35,1.75,152.3,1.54,39.36
2015-08-19,28.02,73.73,2.44,174.6,0.54,50.54
2015-08-20,28.85,66.86,2.65,196.7,0.13,25.01
2015-08-21,29.14,69.08,1.78,239.9,3.04,79.02
2015-08-22,27.4,78.04,1.83,268.3,20.61,95.05
2015-08-23,28.11,67.57,2.61,267.4,2.04,90.73
2015-08-24,29.56,60.1,2.57,269.5,0.02,52.56
2015-08-25,30.32,57.69,2.42,282.5,0.0,37.35
2015-08-26,29.54,59.16,2.86,270.0,0.01,87.46
2015-08-27,29.15,63.92,3.14,264.7,0.81,61.68
2015-08-28,30.07,59.26,3.08,254.7,0.1,51.55
2015-08-29,30.61,58.34,2.89,262.2,0.0,30.5
2015-08-30,30.53,60.5,2.14,245.3,0.13,32.08
2015-08-31,30.75,59.5,2.0,273.6,0.03,44.2
2015-09-01,29.93,66.59,1.26,271.3,2.42,62.45
2015-09-02,28.52,73.82,1.11,258.7,3.27,97.64
2015-09-03,27.89,74.07,0.8,234.2,3.28,96.21
2015-09-04,28.25,71.15,1.19,168.1,0.3,67.79
2015-09-05,28.2,71.2,2.44,180.3,3.36,75.53
2015-09-06,27.75,74.91,2.83,198.3,6.09,64.8
2015-09-07,26.55,76.81,2.48,217.7,1.23,98.96
2015-09-08,28.52,61.22,2.93,243.2,0.01,87.22
2015-09-09,28.67,61.39,3.04,246.1,2.34,67.32
2015-09-10,28.58,65.42,2.53,257.1,0.05,78.72
2015-09-11,28.29,66.7,2.63,248.2,0.02,77.66
2015-09-12,29.54,61.93,3.04,262.3,0.79,82.07
2015-09-13,29.5,60.35,2.93,261.1,0.01,47.58
2015-09-14,30.07,54.9,4.43,264.6,0.01,82.47
2015-09-15,29.66,58.07,4.45,254.5,0.04,71.74
2015-09-16,30.2,58.65,4.46,266.2,0.07,39.12
2015-09-17,29.98,58.31,3.7,264.4,0.43,47.6
2015-09-18,30.15,58.57,3.23,259.4,0.09,68.18
2015-09-19,30.12,59.87,2.73,257.9,0.0,91.99
2015-09-20,29.82,62.66,2.45,256.7,0.27,94.45
2015-09-21,28.95,60.57,1.94,235.5,0.3,51.11
2015-09-22,30.66,60.7,1.54,198.9,0.84,27.08
2015-09-23,29.01,71.66,1.01,145.4,2.25,57.32
2015-09-24,28.54,70.12,2.3,172.1,3.84,77.13
2015-09-25,29.74,66.26,1.59,175.4,1.41,34.57
2015-09-26,30.49,64.08,1.87,213.7,0.48,55.74
2015-09-27,28.38,73.77,1.0,122.7,19.0,81.9
2015-09-28,28.32,74.14,1.06,154.1,8.73,89.94
2015-09-29,26.62,82.83,1.67,168.4,12.53,91.45
2015-09-30,26.35,80.45,1.44,142.8,7.75,88.28
2015-10-01,26.49,81.12,1.77,188.3,5.57,78.15
2015-10-02,27.5,78.82,2.32,213.3,21.23,52.93
2015-10-03,28.65,72.72,1.54,273.9,1.69,72.14
2015-10-04,27.04,82.89,1.12,266.9,5.41,92.36
2015-10-05,25.68,88.12,0.85,336.1,16.51,96.58
2015-10-06,27.59,72.75,1.87,269.6,9.5,80.38
2015-10-07,27.04,79.52,1.5,235.8,19.22,63.24
2015-10-08,26.71,81.13,1.62,237.0,1.75,31.69
2015-10-09,26.76,75.14,1.96,254.7,0.14,45.73
2015-10-10,27.33,76.96,1.83,250.6,4.34,39.33
2015-10-11,27.18,79.97,1.21,270.2,14.63,55.81
2015-10-12,26.55,84.79,0.9,57.5,11.81,80.6
2015-10-13,27.48,77.89,1.05,134.3,0.15,35.68
2015-10-14,27.12,75.67,1.2,104.9,0.1,26.17
2015-10-15,26.86,74.28,1.14,92.6,0.03,9.76
2015-10-16,26.66,75.37,1.57,67.8,0.0,29.59
2015-10-17,26.73,76.45,1.95,64.8,0.06,42.92
2015-10-18,26.85,81.18,1.94,57.9,3.84,79.78
2015-10-19,26.55,86.16,1.63,63.5,2.74,84.08
2015-10-20,27.36,78.34,1.83,75.7,0.44,62.85
2015-10-21,27.32,75.67,1.91,77.2,0.4,54.45
2015-10-22,27.03,71.9,1.85,57.9,0.0,50.75
2015-10-23,27.1,69.66,1.82,38.5,0.04,48.16
2015-10-24,26.96,76.04,2.41,51.6,1.47,81.82
2015-10-25,26.31,71.98,2.88,50.4,0.32,77.83
2015-10-26,26.38,70.14,2.49,46.0,0.26,99.77
2015-10-27,26.48,75.06,2.2,32.4,2.7,98.83
2015-10-28,25.46,84.54,1.6,61.3,15.87,88.11
2015-10-29,26.02,77.9,2.05,44.4,1.62,61.34
2015-10-30,25.92,81.15,1.84,59.2,4.05,86.36
2015-10-31,25.56,87.93,1.79,99.6,6.05,92.87
2015-11-01,25.61,86.91,1.94,147.6,15.26,96.24
2015-11-02,25.54,85.76,1.14,164.3,13.25,90.1
2015-11-03,25.77,85.24,1.19,144.2,8.16,71.78
2015-11-04,25.97,85.24,1.43,78.3,19.4,78.63
2015-11-05,25.82,86.94,1.32,60.3,15.91,98.11
2015-11-06,25.55,86.25,2.12,41.3,8.06,86.7
2015-11-07,25.05,89.94,2.29,36.5,13.76,97.35
2015-11-08,24.59,92.8,2.07,22.5,19.5,99.33
2015-11-09,24.46,92.72,2.38,281.5,38.79,99.03
2015-11-10,25.36,84.38,2.89,243.4,14.92,94.84
2015-11-11,25.0,86.49,1.16,64.1,1.69,94.39
2015-11-12,25.75,86.72,1.44,62.6,3.51,86.64
2015-11-13,24.4,92.69,2.36,8.9,6.51,83.97
