Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,23.58,84.89,1.39,162.9,0.68,60.72
2015-01-02,24.36,84.79,2.07,144.0,0.12,43.52
2015-01-03,24.38,83.52,1.82,142.8,0.0,38.97
2015-01-04,24.23,81.14,1.55,76.5,0.0,35.03
2015-01-05,23.58,80.68,1.76,53.5,0.0,36.43
2015-01-06,23.03,80.08,1.77,46.6,0.0,34.15
2015-01-07,22.94,75.89,1.84,43.0,0.0,21.76
2015-01-08,23.16,78.01,1.31,91.4,0.0,41.13
2015-01-09,22.37,78.26,1.79,53.6,0.0,55.37
2015-01-10,20.4,70.58,2.03,32.7,0.0,10.15
2015-01-11,20.35,75.31,2.16,44.7,0.0,31.05
2015-01-12,20.51,72.07,2.18,47.0,0.0,26.65
2015-01-13,20.3,71.45,1.9,45.8,0.0,20.59
2015-01-14,20.55,72.57,1.79,55.1,0.0,34.97
2015-01-15,21.22,77.87,1.73,60.6,0.0,27.55
2015-01-16,22.43,77.89,1.99,51.5,0.01,41.77
2015-01-17,22.28,74.74,1.93,55.9,0.0,42.75
2015-01-18,22.0,71.93,1.99,56.5,0.0,29.4
2015-01-19,21.67,73.06,2.13,58.1,0.0,26.27
2015-01-20,21.52,76.12,1.99,64.3,0.0,26.03
2015-01-21,21.16,74.29,2.23,55.5,0.0,28.98
2015-01-22,22.08,78.02,2.13,57.8,0.03,29.69
2015-01-23,23.0,79.39,2.25,64.1,0.91,61.74
2015-01-24,23.06,77.23,2.35,55.3,1.16,49.53
2015-01-25,21.87,71.42,2.47,48.8,0.08,9.34
2015-01-26,22.01,73.29,2.31,65.6,0.0,28.91
2015-01-27,22.8,74.1,2.44,67.5,0.0,42.51
2015-01-28,22.89,75.02,2.18,67.4,0.0,42.72
2015-01-29,23.52,73.73,2.11,63.1,0.0,57.56
2015-01-30,23.5,71.97,2.21,60.7,0.0,65.29
2015-01-31,23.06,73.66,2.4,57.3,0.0,28.71
2015-02-01,23.0,74.42,2.31,67.9,0.0,34.84
2015-02-02,23.18,73.75,2.62,68.8,0.0,43.36
2015-02-03,22.96,71.38,2.61,52.3,0.0,41.97
2015-02-04,23.03,71.26,2.51,49.1,0.0,83.77
2015-02-05,23.13,69.85,2.29,59.0,0.0,62.4
2015-02-06,23.08,68.4,2.23,65.5,0.0,72.34
2015-02-07,23.02,66.15,2.19,73.5,0.0,32.44
2015-02-08,23.52,64.41,1.95,71.3,0.0,16.43
2015-02-09,22.87,66.35,2.26,67.3,0.0,24.14
2015-02-10,22.3,71.35,2.24,56.6,0.0,79.71
2015-02-11,24.05,73.58,2.41,53.4,0.0,50.79
2015-02-12,24.92,68.32,2.29,58.9,0.0,21.09
2015-02-13,24.36,62.28,1.76,69.3,0.0,17.66
2015-02-14,25.05,62.39,1.83,94.3,0.0,11.28
2015-02-15,25.06,62.76,1.94,117.2,0.0,10.46
2015-02-16,25.0,64.93,1.89,105.7,0.0,16.09
2015-02-17,25.0,63.32,1.75,112.4,0.0,13.61
2015-02-18,24.57,62.22,2.14,140.4,0.0,62.0
2015-02-19,24.64,62.07,2.06,120.4,0.0,44.22
2015-02-20,24.54,64.22,2.14,102.7,0.0,15.11
2015-02-21,25.11,63.36,2.18,78.5,0.0,17.66
2015-02-22,24.9,61.7,2.29,67.1,0.0,13.75
2015-02-23,24.67,61.24,2.17,87.2,0.0,15.81
2015-02-24,24.4,57.12,1.76,86.5,0.0,17.56
2015-02-25,25.1,58.48,1.71,102.8,0.0,17.44
2015-02-26,26.71,63.73,1.95,111.7,0.0,31.15
2015-02-27,28.08,62.92,2.04,113.2,0.0,47.76
2015-02-28,27.22,67.96,2.56,128.2,1.01,53.88
2015-03-01,27.12,66.03,3.2,133.3,0.75,42.28
2015-03-02,27.79,65.23,2.67,132.8,1.56,43.98
2015-03-03,26.3,72.75,1.39,95.9,3.28,63.66
2015-03-04,27.86,65.72,1.25,159.1,3.47,64.49
2015-03-05,28.38,65.95,2.22,128.7,0.0,45.01
2015-03-06,28.51,63.37,2.22,96.1,0.03,42.68
2015-03-07,28.32,61.75,2.14,97.4,0.02,44.27
2015-03-08,27.77,62.29,2.27,118.1,0.0,31.35
2015-03-09,27.67,63.39,2.28,92.3,0.0,32.86
2015-03-10,26.6,60.08,2.4,62.7,0.0,14.48
2015-03-11,26.26,64.06,2.55,64.5,0.0,20.7
2015-03-12,27.29,64.84,2.62,80.0,0.0,31.01
2015-03-13,27.65,62.6,2.61,101.5,0.0,25.54
2015-03-14,27.59,60.2,2.52,126.0,0.0,25.95
2015-03-15,27.67,62.42,2.37,131.1,0.0,59.46
2015-03-16,27.5,60.44,2.14,129.2,0.0,25.33
2015-03-17,27.58,55.37,1.81,120.8,0.0,16.48
2015-03-18,28.05,47.95,2.04,146.7,0.0,35.36
2015-03-19,28.25,52.6,2.41,123.5,0.0,34.26
2015-03-20,27.94,59.14,2.22,106.0,0.0,11.77
2015-03-21,28.4,55.32,2.19,112.6,0.0,8.11
2015-03-22,29.25,53.09,2.2,112.4,0.0,10.8
2015-03-23,30.11,51.06,2.15,130.5,0.0,12.11
2015-03-24,29.84,55.17,2.51,140.9,0.0,14.71
2015-03-25,29.22,59.4,2.73,143.5,0.0,18.47
2015-03-26,29.22,56.45,2.44,109.7,0.0,22.03
2015-03-27,28.87,56.26,2.25,87.5,0.0,17.53
2015-03-28,28.88,58.33,2.12,104.6,0.0,24.3
2015-03-29,29.29,58.4,2.39,120.9,0.0,11.41
2015-03-30,29.22,59.95,2.67,133.0,0.0,43.15
2015-03-31,29.1,62.95,2.47,133.2,0.0,76.85
2015-04-01,30.41,57.37,2.57,132.9,0.02,71.75
2015-04-02,31.34,53.76,2.69,165.8,0.0,28.49
2015-04-03,32.31,52.65,2.4,170.1,0.04,23.9
2015-04-04,32.12,54.07,2.9,156.7,0.02,53.95
2015-04-05,32.45,51.33,3.13,161.0,0.0,18.5
2015-04-06,31.29,55.54,3.81,157.4,0.0,19.43
2015-04-07,30.73,58.96,3.51,152.7,0.0,30.25
