Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,24.79,85.97,1.84,134.2,1.59,66.62
2015-01-02,25.15,85.92,2.1,141.1,0.19,35.58
2015-01-03,25.15,84.68,1.81,129.3,0.04,33.09
2015-01-04,24.98,82.34,1.76,69.7,0.0,32.26
2015-01-05,24.52,81.7,2.1,51.6,0.0,29.98
2015-01-06,24.18,80.41,2.08,46.6,0.0,26.81
2015-01-07,23.9,78.95,2.23,44.1,0.0,21.79
2015-01-08,24.39,78.66,1.39,75.1,0.0,39.71
2015-01-09,23.64,79.91,2.17,54.3,0.01,55.25
2015-01-10,22.08,74.19,2.61,34.3,0.0,17.58
2015-01-11,21.71,75.41,2.86,37.2,0.0,33.32
2015-01-12,21.77,73.05,2.82,37.8,0.0,30.23
2015-01-13,21.67,74.82,2.58,30.3,0.0,38.01
2015-01-14,21.77,71.44,2.32,39.2,0.0,21.02
2015-01-15,22.24,77.24,2.04,44.5,0.0,24.73
2015-01-16,23.71,79.57,2.6,45.4,0.34,29.59
2015-01-17,23.7,77.92,2.57,49.0,0.12,35.63
2015-01-18,23.11,74.7,2.59,47.2,0.0,28.95
2015-01-19,22.74,74.52,2.65,46.2,0.0,35.33
2015-01-20,22.62,76.69,2.45,49.8,0.0,21.13
2015-01-21,22.45,75.87,2.71,40.9,0.0,28.29
2015-01-22,23.36,78.65,3.01,35.8,0.14,35.5
2015-01-23,24.19,80.62,2.86,53.8,4.3,90.02
2015-01-24,24.24,80.26,3.04,51.9,1.47,59.65
2015-01-25,23.27,72.92,2.98,39.4,0.01,15.77
2015-01-26,23.36,75.43,2.93,53.7,0.13,45.65
2015-01-27,23.89,75.66,3.0,56.2,0.03,62.04
2015-01-28,24.03,76.58,2.74,54.2,0.03,46.99
2015-01-29,24.48,74.91,2.64,55.1,0.02,49.52
2015-01-30,24.35,73.39,2.57,54.4,0.0,63.56
2015-01-31,23.87,75.12,2.9,49.4,0.0,43.64
2015-02-01,23.9,76.65,2.86,56.5,0.03,32.45
2015-02-02,23.65,75.38,3.1,58.2,0.01,45.86
2015-02-03,24.11,72.88,3.39,42.6,0.02,47.74
2015-02-04,24.13,74.04,3.26,42.5,0.02,89.65
2015-02-05,24.4,71.95,2.92,49.6,0.0,54.55
2015-02-06,24.23,72.31,2.66,54.8,0.0,65.32
2015-02-07,23.93,68.89,2.53,56.3,0.0,37.63
2015-02-08,24.36,69.34,2.34,60.2,0.0,19.93
2015-02-09,23.87,70.66,2.65,58.8,0.0,28.23
2015-02-10,23.75,73.27,2.82,44.7,0.05,90.49
2015-02-11,24.84,76.26,3.04,40.7,0.09,56.26
2015-02-12,25.76,72.49,2.99,55.7,0.02,22.21
2015-02-13,25.59,70.14,2.32,56.1,0.0,25.26
2015-02-14,25.48,68.47,1.97,76.7,0.0,16.36
2015-02-15,25.47,67.58,1.93,96.6,0.11,15.67
2015-02-16,25.79,67.9,1.84,89.4,0.0,14.96
2015-02-17,25.56,65.01,1.71,96.9,0.0,16.03
2015-02-18,25.22,64.57,1.89,116.5,0.01,88.99
2015-02-19,25.32,64.02,1.92,104.4,0.0,35.62
2015-02-20,25.16,67.01,2.44,86.2,0.0,20.0
2015-02-21,25.52,68.03,2.69,70.2,0.0,21.6
2015-02-22,25.36,67.77,2.85,59.1,0.0,17.53
2015-02-23,25.13,65.26,2.5,70.4,0.0,17.9
2015-02-24,25.0,63.75,2.3,72.8,0.0,17.42
2015-02-25,26.02,67.25,2.23,83.7,0.0,38.16
2015-02-26,27.38,69.02,2.21,99.6,0.05,32.46
2015-02-27,28.4,67.1,1.99,109.2,0.05,50.19
2015-02-28,27.92,69.97,2.67,122.7,0.26,42.04
2015-03-01,28.22,66.45,3.21,129.2,0.1,36.56
2015-03-02,28.36,66.57,2.65,120.8,0.27,31.54
2015-03-03,28.4,65.54,1.98,99.9,0.56,34.12
2015-03-04,29.11,61.27,1.99,133.9,0.37,30.59
2015-03-05,28.96,67.76,2.47,120.8,0.12,33.03
2015-03-06,29.19,64.23,2.41,94.3,0.13,32.45
2015-03-07,28.9,63.42,2.49,91.2,0.12,28.83
2015-03-08,28.11,65.25,2.38,103.6,0.02,26.93
2015-03-09,28.09,65.58,2.49,86.0,0.01,24.37
2015-03-10,27.26,62.07,2.88,61.7,0.0,22.96
2015-03-11,27.17,64.78,2.85,65.4,0.01,25.78
2015-03-12,28.02,65.74,3.12,71.3,0.09,26.15
2015-03-13,27.97,64.81,2.96,89.4,0.08,26.99
2015-03-14,28.01,64.14,2.71,106.9,0.13,26.62
2015-03-15,27.8,67.48,2.38,109.3,0.14,70.13
2015-03-16,28.01,64.16,2.34,106.8,0.11,45.28
2015-03-17,27.74,60.32,1.82,97.5,0.01,48.19
2015-03-18,28.31,54.64,1.87,125.5,0.0,50.0
2015-03-19,28.42,57.28,2.2,115.0,0.0,28.88
2015-03-20,28.31,64.08,2.24,92.5,0.01,16.82
2015-03-21,28.6,60.36,2.17,98.5,0.0,13.6
2015-03-22,29.56,57.43,2.01,110.6,0.0,13.81
2015-03-23,29.9,59.13,2.13,139.9,0.0,18.16
2015-03-24,29.65,61.27,2.52,139.3,0.01,15.92
2015-03-25,29.31,62.52,2.69,131.8,0.01,24.06
2015-03-26,29.16,60.75,2.3,99.6,0.0,25.98
2015-03-27,29.19,61.2,2.64,78.9,0.02,22.15
2015-03-28,28.99,64.44,2.36,91.2,0.03,24.67
2015-03-29,29.6,62.01,2.46,107.7,0.01,20.4
2015-03-30,29.8,62.97,2.61,119.0,0.02,27.95
2015-03-31,29.2,66.59,2.04,108.4,0.1,87.86
2015-04-01,30.51,60.19,2.45,124.1,0.1,70.35
2015-04-02,31.41,57.51,2.8,157.3,0.06,53.63
2015-04-03,32.5,55.03,2.69,157.8,0.38,21.09
2015-04-04,31.91,58.06,3.01,149.7,0.32,63.27
2015-04-05,32.2,56.19,3.38,151.6,0.22,18.06
2015-04-06,31.35,59.23,3.49,147.3,0.08,18.93
2015-04-07,30.44,64.04,2.97,142.8,0.06,31.28
2015-04-08,29.48,69.95,2.49,141.3,0.41,75.09
2015-04-09,29.45,68.94,2.48,125.9,0.42,63.88
2015-04-10,30.34,64.26,2.65,132.2,0.22,35.8
2015-04-11,30.77,61.12,2.72,143.1,0.99,20.61
2015-04-12,29.14,67.53,2.33,131.7,1.16,47.08
2015-04-13,27.93,68.36,2.33,103.4,11.83,93.87
2015-04-14,27.91,68.97,2.25,92.4,5.75,46.59
2015-04-15,27.4,75.74,2.43,93.1,12.04,59.69
2015-04-16,27.5,76.67,1.84,68.7,6.73,70.13
2015-04-17,28.34,72.88,1.91,30.0,5.77,42.25
2015-04-18,28.92,70.3,1.69,78.1,2.53,39.75
2015-04-19,29.78,66.47,1.8,93.6,0.08,44.96
2015-04-20,29.46,68.03,2.04,116.1,0.37,59.16
2015-04-21,28.58,74.13,1.87,147.4,0.64,77.92
2015-04-22,29.48,69.62,2.57,183.6,0.32,57.35
2015-04-23,30.78,64.45,2.78,198.3,0.58,38.19
2015-04-24,29.66,73.07,2.48,168.8,13.47,56.08
2015-04-25,29.4,68.55,2.04,212.7,6.29,78.01
2015-04-26,29.47,66.51,2.19,139.5,1.13,69.63
2015-04-27,29.39,69.06,2.14,133.5,0.89,64.32
2015-04-28,29.97,66.72,2.02,158.8,0.07,11.99
2015-04-29,30.54,66.18,2.72,159.2,0.25,16.42
2015-04-30,30.91,64.83,2.58,188.0,0.57,16.37
2015-05-01,30.26,66.78,2.46,188.9,0.23,40.01
2015-05-02,31.35,62.39,2.44,203.1,0.2,32.86
2015-05-03,30.24,68.55,1.95,156.7,0.24,51.5
2015-05-04,29.56,72.09,2.29,141.9,0.32,69.38
2015-05-05,30.22,64.51,1.92,126.7,0.11,70.22
2015-05-06,30.05,66.12,2.07,144.1,0.38,58.56
2015-05-07,30.59,64.96,2.16,162.4,0.88,74.86
2015-05-08,31.23,61.65,1.86,192.9,1.08,54.82
2015-05-09,30.65,65.88,2.4,195.2,1.26,69.65
2015-05-10,30.89,59.82,2.28,159.5,2.3,86.72
2015-05-11,29.61,61.6,1.2,161.3,3.93,97.57
2015-05-12,29.99,60.05,2.28,100.0,0.61,93.02
2015-05-13,28.08,74.32,1.88,59.5,13.04,98.46
2015-05-14,27.3,81.5,1.53,325.9,19.12,95.28
2015-05-15,28.25,80.6,1.09,126.9,6.33,87.36
2015-05-16,28.31,81.63,1.58,146.2,7.28,88.83
2015-05-17,27.72,80.1,3.05,205.6,3.08,92.05
2015-05-18,30.53,66.0,3.0,246.2,0.71,83.3
2015-05-19,30.8,65.28,3.66,223.3,0.63,71.84
2015-05-20,31.17,65.04,3.51,225.8,0.28,33.43
2015-05-21,31.58,61.67,4.13,236.4,0.08,17.68
2015-05-22,31.21,62.01,3.33,257.2,0.02,72.85
2015-05-23,31.36,59.04,3.98,252.6,0.01,60.33
2015-05-24,32.18,57.56,3.14,246.5,0.24,62.28
2015-05-25,32.15,58.72,3.79,255.3,0.04,53.88
2015-05-26,30.94,60.01,2.8,215.3,0.54,78.56
2015-05-27,27.21,78.28,3.87,250.1,19.68,81.02
2015-05-28,28.81,60.61,4.28,276.7,3.42,94.9
2015-05-29,31.25,61.88,2.57,236.1,1.39,31.64
2015-05-30,31.17,64.85,2.35,223.3,0.43,44.87
2015-05-31,30.85,66.85,3.13,201.4,1.18,65.44
2015-06-01,30.01,69.82,2.37,258.3,2.6,94.5
2015-06-02,29.99,67.58,2.46,264.7,3.31,72.3
2015-06-03,29.97,68.99,1.82,235.9,0.6,66.96
2015-06-04,29.47,73.21,2.04,172.6,6.13,94.39
2015-06-05,28.22,80.9,2.31,206.7,6.92,72.05
2015-06-06,29.41,71.08,2.0,206.9,0.79,77.26
2015-06-07,30.13,65.72,2.88,219.6,0.39,21.76
2015-06-08,30.21,62.75,3.17,233.7,0.14,45.91
2015-06-09,30.06,66.35,1.76,262.5,3.22,49.3
2015-06-10,29.32,69.82,2.47,242.7,1.83,72.0
2015-06-11,30.13,68.18,2.74,243.0,9.32,59.67
2015-06-12,27.92,77.41,2.51,251.6,6.18,85.37
2015-06-13,29.87,67.05,2.74,252.3,5.11,51.83
2015-06-14,30.23,63.84,3.04,276.5,1.9,38.21
2015-06-15,29.84,57.87,4.08,280.5,0.2,77.42
2015-06-16,28.93,61.12,3.35,270.6,5.29,90.73
2015-06-17,28.07,67.95,3.6,255.8,5.61,99.69
2015-06-18,28.33,63.83,4.12,278.8,1.23,99.85
2015-06-19,28.67,64.92,3.69,264.7,2.79,99.85
2015-06-20,30.06,60.04,4.64,257.7,0.02,91.84
2015-06-21,29.36,62.73,5.0,242.4,0.1,75.92
2015-06-22,30.33,61.66,4.28,247.4,0.0,70.64
2015-06-23,29.99,66.32,4.05,229.7,0.38,68.23
2015-06-24,29.76,66.54,3.93,235.5,0.07,37.42
2015-06-25,30.58,63.39,4.31,241.9,0.04,48.45
2015-06-26,30.15,60.85,4.61,250.4,0.06,92.15
2015-06-27,30.57,57.6,4.25,250.2,0.74,95.41
2015-06-28,30.86,61.98,2.95,265.3,2.51,31.7
2015-06-29,30.69,61.43,3.65,249.9,0.65,45.57
2015-06-30,31.03,59.63,2.11,238.7,0.15,52.39
2015-07-01,30.93,57.07,3.1,245.8,0.12,38.89
2015-07-02,31.73,55.22,2.7,260.9,0.19,32.36
2015-07-03,31.77,58.14,2.43,268.5,1.05,55.36
2015-07-04,31.75,59.28,2.7,272.6,0.6,35.75
2015-07-05,32.45,54.59,2.4,279.1,0.01,35.57
2015-07-06,32.71,48.48,3.54,285.8,0.01,40.82
2015-07-07,32.45,47.09,4.0,273.6,0.02,54.18
2015-07-08,32.52,49.99,3.25,270.4,0.11,73.18
2015-07-09,33.07,49.34,3.42,273.6,0.2,78.92
2015-07-10,30.92,58.39,3.78,266.0,1.21,92.56
2015-07-11,31.75,55.16,3.69,264.0,0.13,90.96
2015-07-12,32.53,51.49,2.38,279.8,1.08,49.06
2015-07-13,32.97,50.03,2.8,279.3,2.31,57.18
2015-07-14,32.04,55.83,1.92,269.7,0.86,84.91
2015-07-15,30.54,61.78,2.07,280.3,0.58,85.42
2015-07-16,31.21,57.87,2.72,272.6,0.67,71.78
2015-07-17,31.19,54.96,4.3,258.9,1.59,81.62
2015-07-18,30.93,54.94,3.8,267.3,2.55,89.72
2015-07-19,29.54,61.54,4.86,260.2,2.55,98.62
2015-07-20,30.89,55.93,3.49,269.5,0.58,79.58
2015-07-21,30.59,60.51,3.11,262.5,4.19,83.83
2015-07-22,29.59,67.49,2.6,247.3,3.33,86.51
2015-07-23,29.73,66.08,2.26,215.0,2.68,77.49
2015-07-24,29.79,62.32,3.15,239.4,0.74,55.34
2015-07-25,29.96,62.34,2.9,247.8,8.84,55.11
2015-07-26,29.07,65.0,2.32,258.9,3.24,87.55
2015-07-27,30.04,60.29,2.26,271.4,4.84,86.88
2015-07-28,30.22,63.18,2.11,238.9,6.33,76.83
2015-07-29,29.65,62.55,2.59,211.9,3.55,79.39
2015-07-30,30.14,59.78,2.5,216.9,0.28,83.65
2015-07-31,30.36,62.34,1.83,255.6,2.64,69.95
