Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,26.21,83.63,2.03,196.0,1.85,42.1
2015-01-02,25.04,76.75,1.3,202.7,0.0,30.13
2015-01-03,24.83,76.41,1.19,100.5,0.0,29.28
2015-01-04,25.28,81.11,1.49,69.7,0.0,26.34
2015-01-05,25.14,81.27,2.04,54.6,0.0,29.89
2015-01-06,24.99,79.39,1.87,47.3,0.0,34.25
2015-01-07,24.43,79.07,1.96,47.3,0.0,34.86
2015-01-08,24.72,79.11,1.72,63.2,0.0,47.37
2015-01-09,24.62,80.51,2.14,61.0,0.0,49.79
2015-01-10,24.2,74.33,2.94,45.4,0.0,51.11
2015-01-11,22.82,73.35,3.07,36.5,0.0,13.38
2015-01-12,22.74,71.19,2.78,36.3,0.0,32.31
2015-01-13,22.86,71.47,2.76,31.2,0.0,16.11
2015-01-14,23.45,73.86,2.37,46.1,0.0,23.88
2015-01-15,23.34,71.66,2.25,40.7,0.0,28.02
2015-01-16,24.34,78.18,2.28,47.9,0.0,17.46
2015-01-17,25.14,78.19,2.86,49.9,0.0,55.27
2015-01-18,24.92,75.34,2.8,43.9,0.0,57.89
2015-01-19,24.39,71.36,2.77,43.7,0.01,36.31
2015-01-20,24.0,73.55,2.49,45.4,0.0,20.19
2015-01-21,23.95,73.41,2.94,39.2,0.02,23.38
2015-01-22,24.68,73.52,2.68,37.2,0.23,13.69
2015-01-23,25.84,74.84,2.48,61.1,0.08,47.64
2015-01-24,25.73,74.64,2.87,51.4,0.04,50.02
2015-01-25,25.87,68.96,3.27,48.1,0.0,63.96
2015-01-26,25.08,71.02,3.1,42.4,0.0,30.11
2015-01-27,25.28,72.93,2.97,53.4,0.0,41.42
2015-01-28,25.89,73.26,2.93,51.7,0.0,59.06
2015-01-29,26.25,71.54,2.48,45.3,0.0,55.63
2015-01-30,26.12,71.13,2.35,53.6,0.0,60.89
2015-01-31,26.02,65.01,3.07,47.4,0.0,73.09
2015-02-01,25.67,68.77,2.91,48.3,0.0,22.06
2015-02-02,25.64,66.35,3.38,42.8,0.0,46.97
2015-02-03,25.96,66.34,3.83,36.8,0.01,29.08
2015-02-04,24.72,73.32,3.38,30.7,1.04,72.61
2015-02-05,26.05,69.6,3.44,43.7,0.19,93.43
2015-02-06,25.95,68.73,3.11,42.7,0.02,49.85
2015-02-07,26.17,66.8,2.81,44.3,0.07,34.65
2015-02-08,26.62,61.14,2.78,41.8,0.0,15.57
2015-02-09,26.75,65.24,3.0,48.8,0.01,18.12
2015-02-10,26.59,65.21,3.1,38.9,0.03,60.2
2015-02-11,27.35,65.98,3.14,42.1,0.01,51.89
2015-02-12,28.15,65.38,3.42,50.5,0.02,28.35
2015-02-13,28.18,65.4,2.81,54.3,0.01,40.98
2015-02-14,27.98,61.25,2.49,60.0,0.0,40.92
2015-02-15,27.38,57.71,2.55,57.7,0.0,14.13
2015-02-16,26.93,57.71,2.49,62.3,0.0,24.05
2015-02-17,26.61,55.39,2.07,59.5,0.0,49.77
2015-02-18,26.55,53.3,2.0,75.4,0.0,96.91
2015-02-19,26.86,53.42,2.11,69.4,0.0,31.37
2015-02-20,26.63,56.94,2.86,63.2,0.0,13.11
2015-02-21,26.86,61.12,3.14,54.8,0.0,18.72
2015-02-22,26.78,56.96,3.15,49.5,0.0,11.32
2015-02-23,27.02,57.57,2.96,52.6,0.0,13.66
2015-02-24,27.72,58.59,2.66,59.4,0.01,29.45
2015-02-25,28.72,62.84,2.43,74.5,0.03,46.68
2015-02-26,29.12,64.37,1.8,102.6,3.41,61.2
2015-02-27,28.71,68.47,1.75,133.3,1.92,66.45
2015-02-28,28.97,65.93,2.03,130.5,0.31,61.25
2015-03-01,29.27,63.72,2.01,131.4,0.02,40.6
2015-03-02,29.83,63.4,2.11,131.6,0.1,70.57
2015-03-03,29.83,60.36,2.27,115.6,0.16,74.36
2015-03-04,29.57,54.63,1.38,140.4,0.01,73.72
2015-03-05,30.21,58.54,1.98,110.7,0.01,41.41
2015-03-06,30.4,59.56,2.13,102.3,0.24,46.46
2015-03-07,30.06,59.75,2.48,81.3,0.87,51.44
